method_name,num_steps,num_groups,num_removes,total_constraints,avg_constraints_per_step,min_constraints_per_step,max_constraints_per_step,constraints_per_step_range,constraints_per_step_std,step_entropy,num_cache_alg_steps,num_free_layer_steps,symmetry_depth,num_symmetry_orientations,total_step_face_overlap_score,avg_step_face_overlap_score,min_step_face_overlap_score,max_step_face_overlap_score,step_face_overlap_score_range,step_face_overlap_score_std,num_zero_face_overlap_steps,fraction_zero_face_overlap_steps,avg_distinct_faces_per_step,min_distinct_faces_per_step,max_distinct_faces_per_step,num_edge_only_steps,num_corner_only_steps,num_mixed_piece_type_steps,fraction_mixed_piece_type_steps,avg_adjacent_step_face_overlap,max_adjacent_step_face_overlap,score
mut_726ae340,4,0,0,20,5.0,2,7,5,2.12,1.8568,0,0,1,0,26,6.5,0,12,12,4.77,1,0.25,5.5,5,6,0,0,4,1.0,4.67,5,0.009898
mut_306c2cbd,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,4,9,5,2.06,0,0.0,5.5,5,6,0,0,4,1.0,5.0,5,0.008391
rand_68536b41,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,28,7.0,4,10,6,2.55,0,0.0,5.0,4,6,0,0,4,1.0,4.67,6,0.011723
rand_4b700d9a,5,0,0,20,4.0,3,8,5,2.0,2.171,0,0,1,0,19,3.8,1,12,11,4.12,0,0.0,5.8,5,6,0,0,5,1.0,5.5,6,0.00902
mut_4a82f4a1,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,5,10,5,2.06,0,0.0,5.5,5,6,1,0,3,0.75,5.0,5,0.007579
mut_fd3a676f,4,0,0,20,5.0,1,8,7,2.55,1.766,0,0,1,0,27,6.75,0,13,13,4.82,1,0.25,5.25,3,6,0,1,3,0.75,4.0,6,0.012617
mut_7457c9c3,4,0,0,20,5.0,4,7,3,1.22,1.9589,0,0,1,0,24,6.0,2,10,8,2.92,0,0.0,5.5,5,6,1,0,3,0.75,5.0,5,0.009665
mut_e87025d9,5,0,0,20,4.0,3,6,3,1.1,2.271,0,0,1,0,21,4.2,1,8,7,2.48,0,0.0,5.4,4,6,1,1,3,0.6,4.75,6,0.009564
rand_9e1a48fc,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,30,10.0,6,15,9,3.74,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.006334
rand_a581a75d,4,0,0,20,5.0,4,6,2,1.0,1.971,0,0,1,0,27,6.75,4,10,6,2.38,0,0.0,5.25,4,6,0,0,4,1.0,4.67,6,0.006599
rand_bea4b9ed,3,0,0,20,6.67,6,8,2,0.94,1.571,0,0,1,0,30,10.0,7,13,6,2.45,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.008644
rand_a8baa077,3,0,0,20,6.67,6,8,2,0.94,1.571,0,0,1,0,30,10.0,6,13,7,2.94,0,0.0,6.0,6,6,1,0,2,0.6667,6.0,6,0.005777
mut_ae76faf2,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,5,9,4,1.66,0,0.0,5.5,5,6,0,0,4,1.0,5.33,6,0.006899
mut_3bb07f77,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,28,7.0,5,10,5,1.87,0,0.0,5.0,5,5,0,0,4,1.0,4.0,4,0.005451
rand_fbccc220,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,25,6.25,2,14,12,4.6,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.008119
rand_b537576b,4,0,0,20,5.0,4,7,3,1.22,1.9589,0,0,1,0,25,6.25,4,10,6,2.28,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.007829
mut_8d0ba881,4,0,0,20,5.0,3,8,5,2.12,1.871,0,0,1,0,28,7.0,2,15,13,5.15,0,0.0,5.0,4,6,0,0,4,1.0,4.0,5,0.012013
rand_cdb1ae43,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,4,10,6,2.18,0,0.0,5.5,5,6,0,0,4,1.0,5.0,5,0.010138
rand_b9d4ec7e,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,25,6.25,1,11,10,3.96,0,0.0,5.75,5,6,1,0,3,0.75,5.67,6,0.008505
mut_07f60b59,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,24,6.0,4,7,3,1.22,0,0.0,6.0,6,6,0,0,4,1.0,6.0,6,0.006122
rand_c91bebc5,4,0,0,20,5.0,3,8,5,2.12,1.871,0,0,1,0,26,6.5,3,12,9,3.5,0,0.0,5.5,4,6,0,1,3,0.75,5.33,6,0.007056
