scramble,orientation,2x2x2,2x2x3,EO,block_fr,block_br,co,pll,total_moves
R' U' R F' B' L2 D2 B' L U2 B2 R' U' L' U' L' R2 F D2 R' U2 D',,U L' R2 U' L,B2 D B' L B' L',D2 B R B2 D' B,B2 D2 B D B' D B D2 B,D R' D R2,R' B R F' R' B' R F,D2 F2 R D' L D2 R' D L' R2 F2 R2 D F2,52
R' D F' L' U B2 L B' D B' U F' D R' F' R F2 L2 U' B2 D B' U2 L R2,,U' R D F' U2 L,B2 L' R2 D' L B',B R' B',D R' D R' D' R',F D B D' F' D B',L' F' L B' L' F L B,D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D,49
F' D' U2 R2 L2 U' B' D L2 R F2 U2 L' B F L' U2 F R2 D',,D' F' D2 U R F2,D2 R B2 R D' B2,B R B',F' R D' R' D F R',B' U2 B D2 B' U2 B,D L2 B2 L F2 L' B2 L F2 L,D L2 D B' F L2 B F' D L2 D',50
L' U' D2 L B2 L' D U' F' B U2 B R' F D' L B F2 U' L' B2,,R2 D B2 U L2,L2 U R2 F U' L2,R B' D B,L' D2 L D2 L B2 L' B2,R' D2 R2 D' R,D' L2 B2 L F2 L' B2 L F2 L,D L' D2 L B R D' R' D' B' D' L B' L' B D',54
D U' R2 L F D2 U' F' D' B U' R' U R D' F R' B' U2 F' B2,,D2 F' R D L' F2,F2 U F U' F D2 B',B' D2 B2 R2 B',R D2 R',R2 D' R' D R' D2 R,B' D F D' B D F',D2 B2 L2 D' L2 U B2 U' B2 D B2 D2,47
D' B' L' U F2 L2 F U B' D L' B2 U2 B' R2 L2 F' R2 B2 L D',,F2 D' L' U B' L' U2,R' B2 D2 U R U' B,F' R F,R D' R' D2 R D2 R',D2 U' R D R' U,R' B' R F' R' B R F,D' R2 F2 R B R' F2 R B' R D2 D,50
R' F' U L' R F2 B2 R' U' F2 B D2 U2 R U' D2 L2 D B L' R D' F L2,,F U L2 U2 L2 F,U2 L' F2 D' L U2,B' F D B F',D B' F D2 B F',F D B D' F' D B',R' B R F' R' B' R F,D' L R D2 R' D' R D2 L' D R',49
B' F' D B2 R2 U2 B' R B' D' F' R D L2 U2 D B U L B2 R2 D2,,D L2 B F2 U' F',D' B R' D' B2,B R B2 D' B,U' L B2 L' U,R' D R D2 R' D' R,R D R' D R D2 R',B2 D' L R' B2 L' R D' B2 D2,45
R2 B' R' U' F D' U2 B2 R' B U D2 B D' B' L B' F2 R B2 D B' L B2,,F2 U2 L' F2 U L',D2 R' B2 D B',F' U' R2 U F,R2 D' R' D2 R D' R2,B' U2 B D' B' U2 B,R D R' D R D2 R',D' F2 R D' L D2 R' D L' R2 F2 R2 D F2,51
U2 F D' U2 R B U' L R2 D' B' D' R' U2 F' D' R D' F' U2 D R' B L' D2,,B' L2 R' D2 U F2,B R2 D' B' R2 D2 B',B' D2 B2 R B',F' D B' D' F D B,D R D R' D R2,L2 B2 L F2 L' B2 L F2 L,D',41
U2 R D' B R' U' B2 R' D' F2 L2 F2 R2 B2 R U R' F U B2,,D' F L' B' U' L,U' F L B2 F' U,D' B R B2 D' B,R D R' D' R D R',F2 R' D2 R D2 R F2,B' L' B R' B' L B R,F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,55
R U D2 R D B2 F' R D2 R2 D' L2 R' F D B' F' R' L2 F R2 B2 U' D' F,,B L B2 D' B' U',D2 B' L F' U B' F L',,L U' L' D L U L',D2 B' F D2 B F',R D R' D R D2 R',D F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,49
D2 F' D2 U2 F L R2 F U' B2 F' U' B R2 B R2 B R2 F2 B D2 F,,U B L' U2 L' U',D' U' F L F' U,F' R' F2 D2 F',R' D2 R D2 R2,D' R D2 R2 D' R2 D' R',D2 L' D2 L2 D L2 D L2 D2 L',F' R F' L2 F R' F' L2 F2 D',50
F' R2 D R' U' B' L' F2 B2 U2 R U L' B F' L R D2 L2 R2 F2 U2 B' D2 R2,,U F2 L U2 B' L' U',R' B U' B' U B,R2 B' D B,R D R D' R2,R' D R D R' D' R,B' D F D' B D F',D' B2 L2 D' L2 U B2 U' B2 D B2 D,48
R B L U2 F2 R' D' F' U B' R B' L2 R2 U D F U' L B F' R',,B D' F D2 B L' U2,L' R' D L B' R' B,F' R F2 D F',R' D R2 D2 R2,R' D2 R D2 R' D' R,D2 L2 B2 L F2 L' B2 L F2 L,D F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,57
L2 D2 U F' D' B2 R B2 D' R U2 D L' U' F' U2 F2 U' B' L' D' R2 B U' F',,D L F' L U F' L,B R' B U' B U,B F' R B2 F D' B,B2 D2 R' B2 R D2 B2,R' D2 R D R,D B' L' B R' B' L B R,D F2 R D' L D2 R' D L' R2 F2 R2 D F2 D,56
R2 L2 U F D' L' U' F B U R L' D' R D L' U2 B D L2 R B' D' R2 F',,R2 F2 U2 F D' L F,D2 R' D B' D' B2,B' D B2 R B',B2 D' L' D L B2,D R' D2 R,,L D' B R' B' L' B R B' D' L D2 L' D',42
F2 D R' U' R2 B2 U' L2 R2 D' R U2 F' L' F2 B2 R' F' U2 R D' R2 L' B R,,D2 U L' B R2 F',L B U' L F2 U L2,F' R F2 D2 F',D2 R2 D2 R' D' R D' R2,L' D R' D' L R,F' D2 F D F' D F,D F2 U L2 D2 F2 D' F2 D' L2 F2 D2 F2 U' F2 D2,55
F L2 F2 L' U2 L U D2 R' F2 D' R U' B U' L R2 B' F L2 F' R F D' L,,U B2 U' R2 U2 L,L B2 L' D' R2 B,F' R F2 D F',F' D B' D' F D B,D2 R2 D' R D' R,D2 B' L' B R' B' L B R,F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,54
L2 U B2 L U' R2 D F B R2 B2 F' U2 D R L2 D B' R2 B R' D' U' F,,R2 D2 L D2 B' F2 U',R' B2 D B' L B' L',R2 B R' B2 D' B,D' L D' R D L' D2 R',D2 R' D2 R2 D R2,D' L2 B2 L F2 L' B2 L F2 L,D' D' F2 U' B2 U' L2 B' U' F U2 B' U F D',59
R2 D2 R2 D R' F L' U' R U D R L2 U2 D' L F2 B2 D2 L2 U2 F',,B R U R' D2 L2,B2 D2 R' D B',,L' F2 U' R U F2 L,R D R2 D2 R,F' D2 F D F' D F,D' D' B2 U' L2 D L2 B2 U R2 D' R2 D,43
D2 F2 D B F' L F' L F' L2 D B L D' L U' R2 B2 U L' D2 B2,,U' R2 B U2,R2 D R B' D B',F' R B' F D' B,D' R' D R2 D' R2,D' R' D2 R D R' D' R,D L' D2 L2 D L2 D L2 D2 L',D R' D L' D R D2 B R F2 R' B' F2 D L D2,56
D F' U' L R U L' R2 F D' F2 L R2 B2 L' F' U' R' B F2 L2 U L D2 B,,F L F2 L2 D F,L F' U' B F L',,F2 L2 B2 L' B2 L' F2,D' R2 D2 R D R' D R2,D F' D2 B' F D L2 D L2 D' L2 B,D2 D' F2 U' B2 U' L2 B' U' F U2 B' U F D2,54
F2 D U L' R2 F' U' R' U2 B L' R2 F R2 B2 F R2 U' B U' L B' R,,F U2 L2 R' F L',D2 U' F L' F' U,F D' B F2 R' B' F,D2 R D2 R' D' R D2 R',D2 R' D' R2,D L2 B2 L F2 L' B2 L F2 L,D' B2 U' L2 D L2 B2 U R2 D' R2,52
F2 U2 R' U2 D2 R2 U' R2 B' F' D' U' R F' L' B2 L2 U2 F2 U F,,B' L D' R B' U L2,D' B2 R2 D B2,D' B R B2 D' B,D' R D R',D2 R D2 R' D R2,F' D B D' F D B',D2 F2 R D' L D2 R' D L' R2 F2 R2 D F2 D,50
B F R F' B2 U2 L2 U2 L2 R B' D U2 F D F' R2 B2 U B F' U2,,R2 U' B L F U',F' R' F R' D2 B',R B R2 B2 D' B,R D2 R' D R' D' R2,R' D R D2 R' D2 R,R' D' R D' R' D2 R,D' L R D2 R' D' R D2 L' D R',50
R2 D U R' F L2 D2 L' B' D L2 F2 B2 L B2 R2 F2 R' B2 D' F,,L' F L2 U F U,B' R2 B2 D2 B',F' R' F2 D2 F',D' R2 D2 R' D' R D' R2,D R D' R' D2 R2,F' R' B' R F R' B R,D F2 R D' L D2 R' D L' R2 F2 R2 D F2,52
R2 L2 B R' B F' U' D2 B D2 F' B L2 F2 R' L' D' L2 F2 L' R' B D2,,L D2 U F2 L,D R2 B L' D' L B',B' D' B,R D' R' D' R D R',D R D2 R,F' D2 F D F' D F,D F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D2,49
B2 D' F2 U D2 B L' R D2 F D U2 L2 D R' B' L' R2 F L R U' D' L F2,,U R2 B' L2 U,R2 D2 B2 D' R B2,R B' D B,L' U2 L D2 L' U2 L,R2 D R' D' R2 D R2,B' D F D' B D F',D F2 U L2 D2 F2 D' F2 D' L2 F2 D2 F2 U' F2 D2,52
U2 R F2 B' R2 U B' U2 D' L2 R B' U' D R' L B' U' B' F2 L' D,,L' D B2 D F,B2 R D' R D B2,F D F',D2 R2 D R',F D B D' F' D B',R' D' R D' R' D2 R,D' L' F R' D2 L B' L R2 U2 R2 B L' R D2,47
D' L F' R' U' L2 U2 B2 D2 L D B F U B2 L U L' D2 L' U2,,U2 B2 L2 D B' L,B L B2 L',B' D2 B2 R2 B',R2 D2 R2 D' R2 D2 R',B' D2 R' D' R D' B,D' B' L' B R' B' L B R,D L' D2 L B R D' R' D' B' D' L B' L' B D',54
U' L R' U' F D2 R2 L U' L2 B' R' U2 R' U L' R D' B F' R' B',,F U2 F2 L U' F,U2 F' L F U2 B',R F D2 F2 R F,D2 R D R2 D' R2,D2 F2 L' U L' U' L2 F2,D' L' D2 L2 D L2 D L2 D2 L',D L2 D B' F L2 B F' D L2 D',53
B' R' F' R' B F' L2 D' U' F B2 R2 L' F' B D B D B' D' R',,F2 R2 U2 L B2 U',U F R2 F' R U',D2 B R B2 D' B,R' D2 R D' R2,D F2 L' U L' U' L2 F2,D F' R' B' R F R' B R,D D' B2 U' L2 D L2 B2 U R2 D' R2 D2,53
D' B2 F2 L U R2 L' F' U' R' U2 L' F B L F L' R U2 D F2 U' D2 R2,,U2 B L2 D U2 L2 F,B R B' R2 B,F' R' F,R' D' R D' R' D R',F D B D' F' D B',D' L2 B2 L F2 L' B2 L F2 L,D2 L' R' D2 L R B D' F D2 B' D F' D,53
B' R' B D' F2 R2 L2 D2 R' B F D2 F' D2 F U B2 D R2 U2,,F R F' U' B' L U2,L' D' L2 R' B' L' B',F D2 F2 R F,R' D U' L B2 L' U,B' D F2 D' B D F2,F' R' B' R F R' B R,D' L' F R' D2 L B' L R2 U2 R2 B L' R D',56
R B L F D R2 F U' B D U2 R U' F U' D2 F2 U D2 R' B U2 R',,R' U B2 U2 L B U',D2 B D2 R' D R' B2,B' D B2 R' B',D' B2 L U' L U L2 B2,,B D' F' D B' D' F,B2 L2 D' L2 U B2 U' B2 D B2 D2,45
R2 F D' B2 U D' R D2 L B2 R B L' U2 F' U D L' F' U2 F' U2,,F' U B D' L F2 U',R2 F' L U L' F,R2 B' D B,R2 U L' F2 L U' R,R2 U' R D' R' U R2,D2 L' D2 L2 D L2 D L2 D2 L',D' L2 D B' F L2 B F' D L2 D' D,53
F2 D' B2 F U' D2 L2 B' L2 D2 U F B U' L' D' L B F' L B',,U' L B F R' D L2,,B' R' D R B,R' D2 R D2 R2,F D B D' F' D B',D2 L2 B2 L F2 L' B2 L F2 L,F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,48
R2 D F B R L2 B D2 R2 F D2 R' B' D2 L B' F R F R L2 D L2 R D,,D2 L B R U L2,B' R2 D B' R' B,R B R2 B2 D' B,D R D2 R' D2 R D2 R',D2 R2,D B' L' B R' B' L B R,D2 B2 D' L R' B2 L' R D' B2 D2,48
U' D' F R B2 F D2 U2 R' D' U2 R2 F' U' R2 B' D' L' B D2 L U2 L2,,B' U2 L U B' L' U',R' D' L' R' D2 L B2,D F' R B' F2 D' B F',D2 R2 U' L B2 L' U,D F2 L' U L' U' L2 F2,F' D2 F D F' D F,D2 L D' B R' B' L' B R B' D' L D2 L' D',59
F B' U2 B R' F2 D' R2 U2 D2 L' R D2 B' R F' B' L2 U B' L' B2 L,,U' R2 F' L R' U L,F' R B' F D B',D2 B R' B2 D' B,R2 D' R' D2 R D2 R',D R2 D2 R D R' D R2,R' D' R D' R' D2 R,D2 R' D L' D R D2 B R F2 R' B' F2 D L D,57
B2 U' D2 R L B2 U2 D' L' F R' B' R D2 U L2 D2 B2 D F',,F2 U F R B L,B' D L B L' B2,D2 B R2 B',R' D R' D R',F D B D' F' D B',D2 B' L' B R' B' L B R,D L' D2 L B R D' R' D' B' D' L B' L' B,52
B2 F' D2 F' L' B' D U F B L' U' D B' R2 L' F R' U' L F',,D2 B' U2 R2 B2 L,B L U' B2 U L' D' B2,R B' D B,L' U2 L D2 L' U2 L,U' R D2 R' U,F' D2 F D F' D F,D B' L B L' R' B L R' B L' B' R2 D2,51
F' R2 B F L2 B2 R2 D B F U2 D' B L2 D' R F2 R' U F' L' U2 L' U2 B',,F2 U' R2 B U' F2,B' L' D2 L U R' U',B R2 B2 D B,D' L D' R D L' D2 R',D R D R2,D' L' D2 L2 D L2 D L2 D2 L',D' F' R F' L2 F R' F' L2 F2,50
U' B2 F2 U' L R D F2 B' D' L R' F2 B U' R2 F D2 R' D',,U B2 R U' R2 F',R2 D2 R D B2 R2 B,D B' D' B,D' B F' R2 B' F,D2 R2 D2 R D R' D R2,B' L' B R' B' L B R,D' F' R F' L2 F R' F' L2 F2 D',50
L2 B' U F' B U B' U2 L R2 D2 F' B2 R' L2 B' F2 R' L U' R' U D2 B2 D',,B2 L2 U L' B2 U2,B R2 D2 B2 R D B',D F' R B' F2 D' B F',R D R' D' R D2 R',R2 D R D2 R2 D' R,B D' F' D B' D' F,D L2 D B' F L2 B F' D L2 D',53
F' U D2 B2 L B F' D' R' U' D' F D U F D' F2 D U2 F,,B' L' B D F2 L2,L B' U R' U' L',,D' R' D' R2 D R',D2 R' D' R,D2 F' R' B' R F R' B R,D' L2 D B' F L2 B F' D L2 D' D2,43
U2 L2 D' L D' F L' B D U L' R2 F2 B' R2 L F' D' F U',,U2 R D' L2 F,D B2 R' B,D' B R' B',R' B2 L' D' L D B2,R' D2 R D R' D' R,F' D2 B' F D L2 D L2 D' L2 B,D2 L' R' D2 L R B D' F D2 B' D F' D,52
R B' L' U' D B' D' F R' B2 R D' B2 U' L' R2 F2 R' L' B' F2 R U2,,R D2 L2 B' U' F',D' R' B' R B2,F D2 F2 R F,L' U2 L D2 L' U2 L,D2 R D2 R' D R2,D' B' L' B R' B' L B R,D F2 U B2 U R2 B U F' U2 B U' F' D',52
L' B' D' U F' B' R B L U R' F' D2 B2 U' F' U2 R2 F' L2 U2 R2 B F2 U2,,D2 F L D' F L',B D' B2 R' D B',F' R F2 D F',R' U L' F2 L D' U' R',D' R' D' R,D L' D2 L2 D L2 D L2 D2 L',B' L B L' R' B L R' B L' B' R2 D,52
L R2 F D2 B2 D B2 F' L' F2 U R' B2 F2 D' F2 L B2 R' U F,,B' D2 B' R F L',U F2 D2 R U2 L U,D B' D' B,R D2 R' D2 R D2 R',L' U L D L' U' L,F' D B D' F D B',D2 F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,53
D' U L2 B' U' B' D' R' D' R L2 F D R U R' F R2 U' D2 L2 B' F',,F' R' B L2 U,D' B' L' D' L,B F' R B2 F D' B,B2 L' D' L D B2,D R' D R2 D' R,F' R' B' R F R' B R,D' R' D L' D R D2 B R F2 R' B' F2 D L D2,53
R L' D' L U B2 L' F' L2 F2 L D' U F' U F' U D F D,,F' L2 B' U' R' U,B2 D B2 L B L' B',B R' B2 F D' B F',L' F' L B2 L' F L B2,B D R2 D' R2 B',D L' D2 L2 D L2 D L2 D2 L',R2 B2 U2 L2 B' F' U2 R2 B' F',54
D2 U' R' U' B2 U' D' L2 B2 L R D L' D R L D L2 R D' R' D',,L2 R2 U' R D L2,F D' F2 L U' L' F,F D F',F D' R D R' F' D' R2,D' R' D2 L' D R D' L,D F' R' B' R F R' B R,D' L' D2 L B R D' R' D' B' D' L B' L' B D2,57
U' D' F' L D2 F' U2 D B2 L2 D' R U B2 U2 L2 R' U B' U2 F2 B L2,,L' F' D2 L2 F U,R B2 D R D B2,F D' F',D' R' D2 R2 D R2 D R,,B D' F' D B' D' F,F' R F' L2 F R' F' L2 F2,39
U2 L2 U R2 B2 R B2 D2 L2 R B' R' D' F2 B' U2 D' L' D2 B U2 L2,,D L2 U R2 D' L',D' L' D' L B',B' D B2 R' B',B R' F2 R B' R' F2,R' D2 R D2 R' D' R,B D' F' D B' D' F,D' L R D2 R' D' R D2 L' D R' D,49
U2 R' D2 F2 B2 D2 B2 U F U2 R' F D' R B' R' B D2 U2 B2 D',,D B' U2 B' U2,R' U R U',B U R2 U' B',D' R2,D' F2 L' U L' U' L2 F2,L2 B2 L F2 L' B2 L F2 L,D B' L B L' R' B L R' B L' B' R2 D2,47
L2 D L' R' F2 B L2 B' L' R U2 R2 D U2 B' D2 U2 L2 B2 U',,B' U F' D2 B' U',B' D2 R2 B' U R' U',D B' D' B,L' F2 U' R U F2 L,D' R2,D F' D2 B' F D L2 D L2 D' L2 B,D2 F2 R D' L D2 R' D L' R2 F2 R2 D F2 D',53
L U2 L2 F' U D F' U2 F2 D' R2 U' F2 U' R L U2 B' F D' R,,B L2 R2 B' R' U2,D' B2 F' R2 F D' B',R' B U R2 U' B',R' D' R2 D R',D R' D2 R D2 R' D2 R,R' D' R D' R' D2 R,R2 B' D2 B2 R2 F' U2 F2 U2 R2 B' D2 R2 F2 D',54
U' F2 D2 U' F B' D U2 R B' L D U L F2 D2 B U R2 L2,,D' L U' B' F' U2,D' R2 B' D2 R D B2,D' F' R B' F2 D' B F',R2 D2 R D2 R' D' R2,L U2 L' D2 L U2 L',,L' F R' D2 L B' L R2 U2 R2 B L' R D,49
F' R L' F2 U' D F' L U F' R' B' F U F B2 D L2 D' L',,L B' L2 D' B' U',U2 F' L F U2,B' R' D R B,D' R2 D' R2 D2 R',F2 D2 R F2 R' D2 F2,F' D2 F D F' D F,F' R F' L2 F R' F' L2 F2 D,46
R2 D' F B D' F2 R2 U2 B' L2 D2 B2 D R' U' F2 U B L' R' B L B,,R' D2 U2 B2 L' F,D2 B' D2 U R2 U',B R' B2 D' B,D' R2 D2 R',R' D R D2 R' D' R,L2 B2 L F2 L' B2 L F2 L,F2 U F' D' B D2 F' D B' D' F2 L2 U' F2,51
F R' U B U2 F R' L' U2 B U D2 F U' B U' F2 B U D R' B2 L D',,B L' B' U L U' L,R2 U' L2 D' L2 B U,B' D B2 R' B',B R' D R D' B' R2,L U2 L' D2 L U2 L',F' R' B' R F R' B R,D2 L R D2 R' D' R D2 L' D R' D2,53
U' F' B2 L' R' B2 U2 D2 B2 D L F' L2 R' B L' R2 F2 U2 B2,,F U B' L' U',D2 R2 B R D B2,B R' B2 F D' B F',D2 R' D2 R2 D R2 D R,R' D R2 D' R,D2 F' R' B' R F R' B R,D' F2 U B2 U R2 B U F' U2 B U' F' D',54
B' D' B2 D' L' D' U' F' D F' B U' B R' D B' D2 L2 F' B,,U2 B' L' U2 L,L' F' R D F L B',F' R B' F2 D' B F',R D' R' D2 R D2 R',D2 R' D2 L' D R D' L,D' L' D2 L2 D L2 D L2 D2 L',D2 L' D2 L B R D' R' D' B' D' L B' L' B D2,60
R L U' R D' B U2 F' D' L2 U2 F2 L' R2 D R F D2 U B2,,U2 F L B L2,R B' R D B2,B' D2 B,R2 D2 R D R D' R2,R' D2 R D2 R' D' R,F' D2 B' F D L2 D L2 D' L2 B,D F2 U B2 U R2 B U F' U2 B U' F' D',52
D2 F R B2 L R B D' F' R2 F2 L2 U D2 R2 B2 F L' U' L' F' U2,,L' B U' R2 F U,L' B' D B2 R2 B' L,B R B2 D' B,D R' D2 R2 D R2 D R,D R' D' R D' R,D2 L2 B2 L F2 L' B2 L F2 L,D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D,55
D2 R' U F R' L' D2 R F' D U' F2 D R' U2 B' R' U' R' U' B2 R2,,F D U' F2 L' U',R D R B' R D2 B',D2 B R' B',B' F D2 B F',D2 R' D2 R D2 R' D2 R,D L2 B2 L F2 L' B2 L F2 L,L' D2 L B R D' R' D' B' D' L B' L' B,54
U2 D2 F R2 F2 D' U F' D' L' B' U' R' B2 L2 B2 U F2 L' B R' B,,F2 L2 F D' L U',R' B2 R D' B' R' B,B' D2 B2 R B',B2 D2 R' B2 R D2 B2,R2 D R2 D R2,B' D F D' B D F',R2 B' D2 B2 R2 F' U2 F2 U2 R2 B' D2 R2 F2 D',52
R B' U' L U L2 D L F U D L' U' F' L B2 U' R2 L' D' U F' L',,D' L' B' L2 B' U' F',R2 D2 R B2 D2 B',B' R' D R B,R D' R2 D R',D' L' D R' D' L R,D L' D2 L2 D L2 D L2 D2 L',D' R2 F2 R B R' F2 R B' R D2,51
R' D' F2 D B F2 L2 R D' F' D2 F2 L F2 L' R' F D U' R2,,R' U2 F' D' U' L2,R2 B2,B R2 B2 D' B,D' R' D' R2 D2 R',F2 D' B' D F2 D' B,D F' R' B' R F R' B R,D' D' B2 U' L2 D L2 B2 U R2 D' R2,47
U' L U' B L D L F' L D' U' R U2 F' R2 D2 F U2 R2 F' L',,U B' R2 D2 L2,R B2 R' U' B2 U B,D2 B R2 B',D U L' F2 L U',D R' D' R,R' D' R D' R' D2 R,D2 L' D2 L B R D' R' D' B' D' L B' L' B D,49
B L' B L2 F D L2 B' F2 D R' U' L2 F R2 D' L' D B F' D2,,F2 U' L' R' D B' U',R2 B2 D U R D' R2 U',F D' F',R' D2 R' D R' D' R',D F2 L D L' D' F2,R' D' R D' R' D2 R,D F2 U B2 U R2 B U F' U2 B U' F' D',53
U2 B R2 D' B' D R' U2 D2 F2 D2 U2 R B2 R2 D2 F D B2 R D2,,B2 F R2 U' F L,R' B2 R' D B',,D R' D2 R2,D' F2 L' U L' U' L2 F2,B D2 B' D' B D' B',D2 F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,46
F2 L2 F2 B' D B' F L' B F2 R2 L2 U D2 R' F' R2 L D B,,L2 D U' F' D' R U,D R B2 R D B',B F' R B2 F D' B,R D2 R D R' D' R2,R2 B2 R B2 L' D2 L R,D2 L2 B2 L F2 L' B2 L F2 L,D' B2 D' L R' B2 L' R D' B2 D2 D,57
R' U' R L F' L' U' R' F' L D' F2 B' L' U' B U' B' R' L' B' D2 F R' L2,,R' U B2 F2 D F,R B2 R2 D B2,B' D B,D' R2 D' R' D2 R',D2 R' D R D' R' D' R,L2 B2 L F2 L' B2 L F2 L,F2 U L2 D2 F2 D' F2 D' L2 F2 D2 F2 U' F2,51
B' R B F L R2 U2 F2 U R2 B U2 D2 F L2 B D' F' B2 D U' F2 R' U R,,R B2 F D' B' U',F2 U' B2 L2 U F2,B' D2 B2 R B',D' B2 L U' L U L2 B2,D2 R D' R2 D2 R2,F D' B' D F' D' B,D D' B2 U' L2 D L2 B2 U R2 D' R2,50
F2 L2 D' F' U2 F' D R' F U2 R' U B2 R L2 F R F' U2 R2 L' U' L' R2 B2,,U2 B' R2 D' F,R' B' L' D' L,F' R B' F D' B,B' D2 B D' B' D' B,R U L' F2 L U',,D L2 D B' F L2 B F' D L2 D',40
R F2 L' U L2 U R F' U2 L' F2 R B2 U' L2 B2 L' D R F U2 F' D' L',,F L' B2 F' D' B' U',B2 D R2 B R' B,B' D B2 R' B',B2 R D' B2 D R' B2,D2 F2 L D L' D' F2,D B' L' B R' B' L B R,L R D2 R' D' R D2 L' D R' D,52
U L R2 U2 D' B2 U F2 B2 L2 F2 D2 F2 B R' D' B' U2 F2 D' B2,,D B2 L' R2 B L,R' B2 U' B U,B R2 B',L B2 D B2 D' B2 L',R D R2,D2 L2 B2 L F2 L' B2 L F2 L,D' B2 D' L R' B2 L' R D' B2 D2,45
B R' L2 U2 D2 B2 F L' R D F2 D' B2 F R' L D2 L' U2 B2 L' B2 D2,,D2 L2 B L,D B2 R B2 L B' L',B R' B2 D' B,D2 R' D2 R D2 R',R2 D' R2 D' R2 D2 R2,B D2 B' D' B D' B',D2 L' R' D2 L R B D' F D2 B' D F',49
L2 B R' B R' B D L2 F R' B' F2 R2 U2 D' R' U F' L D U F2 B U2,,D' L U' F,D' B2 D' L' R D L,F' R' F,D R2,D' R' D2 R D2 R' D2 R,,D2 F' R F' L2 F R' F' L2 F2,34
U F D U F2 D2 R2 U L' R D F2 B' D' U B2 L R F2 B,,F U2 L F2 U2 L,R' B D' B' R2 B,D R' B' D' B,B' D2 B' D' B D' B' D2 B2,D2 R2 U L' F2 L U',D L2 B2 L F2 L' B2 L F2 L,D B' L B L' R' B L R' B L' B' R2,56
L U2 R2 L D' F2 D' F2 B' R2 B' D' F B D L F U2 D' R2 B2 D',,B R F D F2,D' R B2 D2 B R' B2,R B R2 B2 D' B,D U R' D' R U',D R D2 R2 D' R2 D' R',F' D B D' F D B',D D' B2 U' L2 D L2 B2 U R2 D' R2 D2,52
B2 F' R L' B' R' U D R2 L F2 D F R D' U F B L R' B U D2,,L' F2 U2 B' D F,B R2 B2 D' R2 D2 B',R B' F D' B F',D' R' D' R D' R2,R2 U' R D' R' U R2,D2 L2 B2 L F2 L' B2 L F2 L,F2 U B2 U R2 B U F' U2 B U' F' D' D,56
R' F D2 B2 L' U R L2 F' B' R' F2 R2 L' D2 R' L U' R2 B2,,U2 R' B D U' F,R' D' R' B2 R' D2 B',R B' D B,R2 D R D' R2,R' D2 R D R' D2 R,B D' F' D B' D' F,D',37
R2 D2 F2 L F' U L F L2 B' L F2 U B U D' B R2 D F' B' D' F' R2 B2,,D2 L2 U B' F2 L,L' D2 L D R' B2,F D' F',D L' D' L2 U B2 U' L',D' R D' R2 D' R,R D R' D R D2 R',D R' D L' D R D2 B R F2 R' B' F2 D L D2,52
R U' B R2 L' D2 L2 U L' B' L' D2 B2 U2 L' F2 L2 B F' D2,,F' L' R' B' F2 U2,D' B' D' B2 R' B,R B F' R B' F2 D F',R2 D R2,F2 L' U L' U' L2 F2,B D2 B' D' B D' B',D' B2 D' L R' B2 L' R D' B2 D2 D',49
B' F R' U' R L B' D F R2 B U' L' B' L B' R B' L2 F' R',,L' F R F' D2 L2,D2 B' U R U',B' D B2 R' B',R D R' D R D R',U F2 D' F2 U' R,D' L2 B2 L F2 L' B2 L F2 L,D F' R F' L2 F R' F' L2 F2 D2,50
R B' R2 B L B F' D2 F' R2 F2 L2 U' R F2 U' B R' U' D',,B' U B D L U',L R2 B L' B2 D' B2,B' D B2 R' B',R' D2 R' D R' D' R',R' D2 R D2 R' D' R,B' D F D' B D F',D2 F' R F' L2 F R' F' L2 F2 D2,50
B R2 F D2 R' L2 B R D B' R' B2 D U2 L U' L D' F D' F' B2 U R' B',,L D' F2 R2 B' L2,U' B U2 R' U' B,D2 B F' R' B' F,L D' R D L' R',R' D2 R2 D R2,D B' L' B R' B' L B R,D L' F R' D2 L B' L R2 U2 R2 B L' R D,53
R B2 D' R2 L U D2 L' B R U2 L B2 U2 B' F U' F U' B2,,L F L' D2 B2 U',D' R' F D' B' F',B' F D B F',R' D R D R2 D2 R2,F D2 F D F' D F D2 F2,B' D F D' B D F',D' F2 U' B2 U' L2 B' U' F U2 B' U F,53
R2 L2 B L2 B U' L2 B2 F' L' R' U2 D' R2 F R' B2 D' U' L2 B,,L' U' F' L' F,D R' B R2 B,B' D2 B2 R' B',R2 U R' D R U' R2,D' R D' R' D R2,D' L' D2 L2 D L2 D L2 D2 L',D' F2 U' B2 U' L2 B' U' F U2 B' U F,51
