scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
U F2 D' B' F' U2 L2 U2 B U L2 D' F B' R' U2 F2 D L2 B,x2,L' D' U2 R' B L',L' U' L F' U' F,L2 F' L' F2 U2 F' L',U' R' F U2 F' R,R' U2 R B U B',U2 F R U' B U B' R' F',L' U2 L F R U' R' U' F' U' L F' L' F,54
L2 B2 D2 L R2 U2 B' D' U2 L F' R B2 L F L2 F R2 B' L,x2,D R B' L' D' L2,R U' R U2 F R2 F' U2 R2,L U R' U2 L' R,B' F U2 B U' F',B U2 B',U L F' U' F2 U' F2 U2 F U' L',U2 U' F2 D' L2 U L2 F2 D R2 U' R2,53
F2 L R' F2 B' R2 U R U' L2 R2 B' L U' D' F L B' D' F' R' L U,x2,F D B2 L' F' D',U' R U R',R B2 R' B U2 B,U F' D2 B' D2 F,U' B U B',U L2 F2 R' F D F' D' R F2 L2,U2 L' B R' U2 L F' L R2 D2 R2 F L' R U',52
U L' B L D2 L' D F2 U2 F' L2 R U2 D2 L B2 D2 U B L D',x2,F' D' L B D2 L' B2,B' U' F' U' B F,D' B' U B D,U2 F2 D R2 D' F2,B L U L' U2 B',U L' U' L B L' B' U B L B',U' B' R B' L2 B R' B' L2 B2 U2,52
D' R' F' L' F D F2 B2 L2 B' R D B' D2 F' D2 U' B' L D' B2,x2,F D2 R' F L' D B,R F R' F' U' R',F' L U L' F,L2 D' L U' L' D L2,F2 R' F' U' R F',U F' U2 R' U' R2 B' R' B2 U' F B',U2 L2 U F' B L2 F B' U L2 U',54
U D' L R' F2 D' F' R B' R' F2 R F D2 U L' B2 L' U' L' F' D L' F,x2,F2 U' B2 L' D B',R F R2 U F' R',B' U2 B U B' U' B,F U' F U2 L F2 L' U2 F2,U2 R' U' R,U F B' U R U' R' F' U' B,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U2,55
U' F' R' F2 B U' F B' L2 U' R' F2 B2 D U2 B' L' F2 B D R' L' B F2 U',x2,U2 F' D' B2 R,F L2 F' L2 F',U B' U R' U2 R B,U B' F U' B F',B2 U' B U B2,U' F' U B L U L' U' F B',F2 L2 U' L2 D F2 D' F2 U F2 U',49
B' U2 B' D' L2 F' R' U F2 L' R' U' L U D2 L' R' F D2 F2 L' B F2,x2,L' F' U' L' R' B F,B' U' R2 B R2,U' L U L',L2 D' B2 D L2,U' R' U' R,B' R' U' R U B,U L2 U F' B L2 F B' U L2 U' U2,43
L R2 U2 F2 L U L2 R2 F2 L' D2 L2 D2 F B2 R L2 B' U2 L' F',x2,U2 B' U' R B' F',R U B U2 B' U2 R',B' U' F U B F',U' L' B' U2 B L,R U R2 U2 R,B U L U' L' B',L U' F R' F' L' F R F' U' L U2 L' U',50
D2 R2 L D L' B' D' B2 L F2 D U' L2 F' U B' F' L2 U F B L,x2,L2 F R2 B D,U F' U2 F,U' B' R' U2 R B,D2 B U2 B' D2,B' U2 B2 U B',U2 F U R U' R' U R U' R' F',U' B2 D F2 D R2 F D B' D2 F D' B' U' U2,51
