scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
R L' D' L U B2 L' F' L2 F2 L D' U F' U F' U D F D,x x,B2 L F' U B U2 R' B' F L,U L2 D L2,R2 U' R U R2,B' U' R2 U B F' U2 F,F R2 B' R' B R' F',F R' F R2 B' R B R2 F2 U2,44
D2 U' R' U' B2 U' D' L2 B2 L R D L' D R L D L2 R D' R' D',x x,U' R' D U R' F2 D2,U L' B2 L,R2 U R2,U' B' R U' R U F' B U2 F,U B' U2 B2 U B2 U B2 U2 B',R2 F2 D2 L2 F' B' D2 R2 F' B',44
U' D' F' L D2 F' U2 D B2 L2 D' R U B2 U2 L2 R' U B' U2 F2 B L2,x x,B' L' R' F' L2 D2 F' D F2,L2 R D L2,U R' U' R2,U2 B' R U' R U F' B U2 F,B' R' F R B R' F' R,U' B2 D F2 D R2 F D B' D2 F D' B' U' U2,50
U2 L2 U R2 B2 R B2 D2 L2 R B' R' D' F2 B' U2 D' L' D2 B U2 L2,x z x,B' D' B2 D' B2 L2 F' L' D,B2 R2 F2 D' B2 L2,U' F2 R U R',U' L' U L B' R' F2 R B,B' U F U' B U F',B' R F' U2 B L' B F2 D2 F2 L B' F U,50
U2 R' D2 F2 B2 D2 B2 U F U2 R' F D' R B' R' B D2 U2 B2 D',x z x,F2 D' U F' L2 F' D L2,B2 L D' B2 U2 R,R' F2 R2 U R',R2 D R' D2 L D' L' D2 R',F U2 F' U' F U' F',U L' B L B' F' L B F' L B' L' F2,48
L2 D L' R' F2 B L2 B' L' R U2 R2 D U2 B' D2 U2 L2 B2 U',x x y,F L' R2 B' L' D' B' L2,R2 B2 U' B2 R2,L U L' B2,D' B2 U2 R' B2 R U2 B2 D,L' U2 L2 U L2 U L2 U2 L',U2 L2 D L' U' R U2 L' U R' U' L2 F2 D' L2 U,51
L U2 L2 F' U D F' U2 F2 D' R2 U' F2 U' R L U2 B' F D' R,x x,R F2 U2 R D' L2 R' B F',L2 D2 L2,R' U R2,B2 R2 U2 B2 U B2 U R2 B2,U2 F' L' B' L F L' B L,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',46
U' F2 D2 U' F B' D U2 R B' L D U L F2 D2 B U R2 L2,x x,D2 L D B' D2 R B' U F',L F2 L D L2,D R' U2 R D',D2 B2 R' F2 U2 B2 L' F2,B' U F U' B U F',U' L U' F R' F' L' F R F' U' L U2 L' U,49
F' R L' F2 U' D F' L U F' R' B' F U F B2 D L2 D' L',x x,U' B2 D R' F R' B' D' L,R' U2 L2 D L2,R2,B' U' R2 U B F' U2 F,F' L F L' U2 F2 R' F' R F',U2 U' R2 F2 R U F U R U2 R' F' U' F' R U2,49
R2 D' F B D' F2 R2 U2 B' L2 D2 B2 D R' U' F2 U B L' R' B L B,x x y,L2 B' F2 D' U2 L2 F2 L',F2 L2 F2 R B2 R2,U' B2 U2 B2,U2 F' L' B2 L F,L U' R' U L' U' R,R2 F2 U' F2 D R2 D' R2 U R2 U,42
F R' U B U2 F R' L' U2 B U D2 F U' B U' F2 B U D R' B2 L D',x x y,L' D2 L' U F' L2 B' R',U B2 U' F2 D' F2,R' U R U B2,R2 B2 R U' R' B2 R2,L' U2 L2 U L2 U L2 U2 L',U F' B' U2 F B R U' L U2 R' U L',48
U' F' B2 L' R' B2 U2 D2 B2 D L F' L2 R' B L' R2 F2 U2 B2,x x,F2 R' B D2 L' D' F' D' F,U2 L2 D L2,U' R' U R2,U L' B2 R2 D' R D B2 L,F' L' B' L F L' B L,U' B2 D' F2 D' L2 F' D' B D2 F' D B,47
B' D' B2 D' L' D' U' F' D F' B U' B R' D B' D2 L2 F' B,x x,R' D B2 U2 L2 D' B' L,U L2 R2 D L2,U2 R2,U B' R' F' R' U' R U B F,B' U F U' B U F',R2 B2 R F R' B2 R F' R U2 U',43
R L U' R D' B U2 F' D' L2 U2 F2 L' R2 D R F D2 U B2,x x,U2 B U F2 L' B F' D B,L2 D L B2 L,U' R2,U2 U R2 B2 R' B2 R' U B2 R2 B2,F U2 F' U' F U' F',B2 D F2 D R2 F D B' D2 F D' B' U' U',48
D2 F R B2 L R B D' F' R2 F2 L2 U D2 R2 B2 F L' U' L' F' U2,x x y,F' D B D2 L U R2 D B' R,F2 D2 R' B2 R F2,L U' L' B2 U B2,U' R' U2 L' B2 L U R' U R2,B' U F U' B U F',U F2 U R' L F2 R L' U F2 U' U',51
D2 R' U F R' L' D2 R F' D U' F2 D R' U2 B' R' U' R' U' B2 R2,x x y,L B' F L2 D U R2 F' R',B2 F2 R' D2 F2 L',U' B2 L U L',L D2 R' U F2 U' R D2 L',L' U' B' U B L,U' U' F2 R' F' L' R' D B' D' L R2 U F' U,50
U2 D2 F R2 F2 D' U F' D' L' B' U' R' B2 L2 B2 U F2 L' B R' B,x z x,L2 F' R' B2 L2 R2 U B D',F2 U B2 D' B2,R U2 R',U R' F2 U L' U' L R,U2 R' F' L F R F' L' F,U B' R F' U2 B L' B F2 D2 F2 L B' F,48
R B' U' L U L2 D L F U D L' U' F' L B2 U' R2 L' D' U F' L',x x y,R D B F L2 U B L' F',F2 L2 B2 L' F2 R2,B2 L U2 L' U B2,U U2 R2 B2 R U R' B2 R2,R' F' L' F R F' L F,U L2 D R2 D B2 R D L' D2 R D' L' U',52
R' D' F2 D B F2 L2 R D' F' D2 F2 L F2 L' R' F D U' R2,x x y,B R F2 U2 L D' R' B' D',F2 D' F2,B2 R' U' R U B2,U2 R' U2 R,U L' U2 L2 U L2 U L2 U2 L',U U' R2 D' F2 U F2 R2 D B2 U' B2 U2,45
U' L U' B L D L F' L D' U' R U2 F' R2 D2 F U2 R2 F' L',x x,D' L2 R2 D2 F' D' R2 B L2,U2 L2 R D' L2,R2 U R' U R2,R U R' U' R U R',F' L F L' U2 F2 R' F' R F',B' U2 B2 U L' B' D' B2 D L B U' B',49
