scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
R2 U2 B F R D' U2 L' B2 U R L' F R' F2 B U2 F2 L R',x x,B2 R' D' R' U2 F L2 F' L,U L2 R D' L2,R2 U R2,U2 U R D' U2 R U2 R' D R',U2 F' L' B' L F L' B L,R' U L' U R U2 F R B2 R' F' B2 U L U,51
R2 D B U' B' F2 D B2 U2 B' R2 U' B2 F R2 D R' D' R L U',z z,R U R D F L U' F R B',U2 L2 U R2 D R2,L' U L2,U2 L F U F2 D' L D F U L',U F' L' B L F L' B' L,U F2 D R2 U2 F2 U' F2 U' R2 F2 U2 F2 D' F2 U,55
U2 R' B2 D2 L' R D' F2 U F L' D2 L2 F' R B F2 L2 R' D,x x y,B' D' F' L D B' D2 R B2 L',U2 F2 D' F2,D' U2 R' U' R D,R' U' L' R B2 L,U' L' U2 L2 U L2 U L2 U2 L',U2 F2 U R' L F2 R L' U F2 U' U,48
B' D' L' R D2 U' B2 R' F2 B R2 F2 D' U' L F' B' L2 F' L D2 F2,x x,F L U F' U2 L2 B' R' B2,U L F2 L',R' U2 R2,U2 B' U' R2 U B F' U2 F,U' F' L' B' L F L' B L,U L' B R' U2 L F' L R2 D2 R2 F L' R U,49
U2 B2 R' D2 R2 U2 D L B L F' U2 R' L U' L' F' U B' L' D,x x y,B' U' F2 L' U B D F' L,R2 B2 U2 B2 R2,U L U L',R' U' L' R B2 L,L U' R' U L' U' R,U' L' B L' F2 L B' L' F2 L2,41
D' U R2 L' U2 F2 U' F2 R' B' F U' L U' D2 B' U2 B2 R' F2 U' F R D' R,x x,D B' L2 U2 R' D' L F',,R U' R,U U2 R' U' R U' R U2 R,B' R2 F R F' R B,B2 U B L' B L U2 R U B' U' B' R' U2,41
R' D B2 D2 B2 L F' U R' D' U2 F R2 B D L2 R2 D F' D2 F2 L',x x,B L' F D' L' U' B' F' D2,L2 D' L2,U2 R' U' R2,U L' B2 R2 D' R D B2 L,B' R2 F R F' R B,R' D' F L F2 L' F D R2 B U' B' R' U',46
B' U L D F2 U' L B2 U2 L2 R' D' U L2 U' D2 F' B U D' F,z z,F R' F' R F D F R B' D,L2 U R2 D' R2,R U' L U R' U2 L2,U B2 D' F2 L D2 L' F2 R D B2,U2 B' R' F' R B R' F R,U' B2 R2 U' R2 D B2 D' B2 U B2 U,54
R2 B' L D U2 B D2 B2 F2 U L2 B U2 R F B' U' D L2 U2 L' U' F' D2,x x,B2 R B U F' R' F' U B' L,U L2 R2 D L2,R2 D R' U' R D',B' U R U2 R U2 R2 U' B,L' B' U' B U L,U R B' R' U' F D2 F' U F D2 R2 B R2 F' U,52
B' U2 L U D2 B2 L2 D' B D' F2 U2 L2 B' U' R B L D U2 L',x x y,D L2 U F2 R2 B2 L B L2 D',R' F2 L' D2 L' D2 F2,,R' U' R U' R' U' R,U R' F' L' F R F' L F,U2 B' U F' U B U2 R B L2 B' R' L2 U F U2,49
D U R' U2 R U B' U R2 U2 R D2 R' L2 D' F' D' U' B F2 U L' B2,x x,U B' R2 D2 R B' D' F2,U2 L2 R' D L2,D R' U2 R D',U U2 L' B R2 B R B' R B' L,F R2 B' R' B R' F',U R' D' F L F2 L' F D R2 B U' B' R',50
F' L' D' B' F2 R F2 D2 R B F' L U' L F2 R U' L' D F2 R L',x x,F' R' B' U' F2 U' L2 R' F',U L F2 L',U' R' U R2,U R' U' R2 U R,U B' U2 B2 U B2 U B2 U2 B',U2 B2 D F2 D R2 F D B' D2 F D' B' U' U',48
R' F' L' U B2 D2 B2 R2 U2 B2 R' L U2 L' D L' D2 F2 U' R2 U R2 B' R,x x,R' D R2 B' F U B' R F',U2 L2 D L2,U2 R2 U' R2 U' R,R U R' U' R U R',F' L F L' U2 F2 R' F' R F',F' U F U2 F2 U' L' U L F U F U2,49
F2 L2 U2 B F2 D2 R' D' R U2 F B' D' R F' D2 F' D' U F R' B L R2 F',x x,R F' D' L2 R' B F2 D2 L',U' L2 D' L2,U R' U' R,U2 L' B2 R B2 L,U B' R' F R B R' F' R,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',47
R' B2 F' D2 R' L2 U R2 L F R2 B U' R2 B' L' R B D2 L2,x x,B F2 L D2 F2 R2 B L D2,U' L2 R' D L2,R2 D' U' L F2 L' D,U B2 R2 U2 B2 U B2 U R2 B2,U2 F' L' B' L F L' B L,U2 L U' F R' F' L' F R F' U' L U2 L' U',55
U' F2 L' F2 U2 F' L R U' B2 D B2 L D U' F' D' F2 D2 B2 D',z z,L2 U2 F' D' F2 R' B' U R,U' R B2 R',U' L2,F' L B L B' L F L U2 L',U2 B' R' F' R B R' F R,U F2 D B2 D L2 B D F' D2 B D' F' U',48
R U' F2 D2 U2 B' U' B F2 D2 F2 D2 R U' R B2 L' F2 R L D2 R' B' U,x x,F2 L' R' D2 U B' U2 L' D,L2 D' L' F2 L',U' R U' R' U2 R2,B2 F2 L D L' B2 F2,L' B' U' B U L,U' B U L' U2 F' U B' U' F U2 B L B',47
D2 U R2 D2 F' D2 U R' B' R' U2 D2 R B' D2 R U B2 R2 L2 U B2 D2 R D,x x,R' D L2 F' D2 L' B U F',L2 D' R' D' L2,U R U' R,U' U' R U2 R' U2 R U2 R',B' R' U' R U B,U U' F U2 F' U' L' B' U2 B U L U',46
L U2 L' B R' F' B R2 F L' U' F2 D' U B F' L2 F2 B2 L',x x y,R' U B D2 B2 L2 R D2 L,F2 D L B2 L' F2,U2 R' U R U2 B2,U2 R' L' U R U' B2 L,F R B' R B R2 F',R U B U L F U2 F' L' B2 R B R2 U',50
U' F' R F2 B' D F D R' F' L' F' U2 R F B L' F2 B L F',z z,L B' U2 L B' D L2 D B2,L R2 D R2,L2 U' L2 U' L,L U2 R U' L' U R',B' R' F R' F' R2 B,B L B2 D2 F2 R F2 D2 B U,42
D' B L R D U B2 R' D R' D' U R2 U2 L2 U' D2 R' F2 U B2 D U2 B' D',x x,B R' D2 F2 L B' D F D' L,L2 D R' D L2,U2 R' U R2,R U R2 U2 R' U2 R,U B' R' F R B R' F' R,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U,50
U' R2 L' F R' F D2 B' R' L2 F L2 U D' B2 R L2 D2 L F' R',x x y,B L' R2 D L' R F D' B' D2,R2 B2 F2 L2 F2,U' L U2 L' B2,U' L' U' L U' L' U2 B2 L,L U' R' U L' U' R,U' F' B' U2 F B R U' L U2 R' U L' U2,50
B' R U L B2 R D' B' D' B2 D' L F' B' R2 L2 D2 U2 B2 L2,x z x,R U2 L2 D2 B' D' U2 R2 B' R,B2 R2 F2 D' B2 L2,R U R' U' R U2 R',U' L F2 L2 U L2 F2 L',B' R2 F R F' R B,U2 B U L2 U' L F U F' U L U2 L B' U,53
U' D2 L R B' L2 F' R' U2 F L' U2 B' D L' B L' D R2 L2 B' R' B',x x y,B' L2 B2 U R2 D2 L D L' B',,U B2 L U L',D' B2 U2 R' B2 R U2 B2 D,F U2 F' U' F U' F',U2 U' R2 D' F2 U F2 R2 D B2 U' B2,43
D' R D2 L' D B R' D' B2 R B' D R' F' U' R L' D U R' B2 D2,x z x,B D2 U F2 L' B D2 B' D L2,B2 D2 R F2 R' B2,U R U R',L' U2 R' F2 R U L' U L2,B' R2 F R F' R B,U B L U L' B' L2 U' B L B L' B2 U L2 U2,52
F' L2 U' F L U' L R F' D2 F B2 L' B' D2 B2 D U' L2 F',x x,L' D2 F2 U' L B U F D',U2 L2 D L2,U R U2 R2 U' R,U U R U2 R2 U2 R' U2 R,U F' L F L' U2 F2 R' F' R F',U2 F R F2 D2 B2 L B2 D2 F,49
L' B' U2 B2 L2 U2 D' F' D' B2 L2 R F U2 B' L B' L2 D R' F2 R' D2 F2,x x y,U' R' D R2 B' D' F2 U' B' R,L2 B F' D2 B' F,B2 D' R' U2 R D,R2 U' F2 L D2 L' F2 U R2,U L' B' R B L B' R' B,U' L' B L' F2 L B' L' F2 L2 U,51
L U' L' F' D2 R' F R B' R D2 F2 D2 R2 U2 L' F2 B U' L F L B R D',x x,B F' L D' B R B' U F',L2 D' L2,B2 U R' B2 R U' B2,U2 B' R F R D R' D' B F',F U2 F' U' F U' F',U B' R B' L2 B R' B' L2 B2,46
F U2 F' U F' D' F U' D F' U2 B U D L' R U D2 F' R L D2,x x y,L' F L' D2 U R2 B L' F L',F2 R D' R' F2,D' R' U R D,U' L' U' B2 U L R' U2 R,B' U' R' U R B,U' B' U2 B L F2 R' F' R U' F' U' L',48
F R2 L U' L' F2 R' U' R' B F2 D' B L D2 L2 U' B' D2 R2 B' L2 D' F2 B,x x,L D' L' F' R D' B' D2 L F2,L2 D R D' L2,U2 R' U2 R2,U B R' U2 R2 U2 R B',U F' L' B' L F L' B L,U F' L F L' R' F L R' F L' F' R2 U2,50
L2 U2 D' L2 R B' D2 L2 D' R2 U2 B2 U' F' R L F B' U2 L D2 F,x x,R2 F D B2 D2 B L2 U' L,L2 D' R D' L2,R' U' R2,U' B' R F R D R' D' B F',F U2 F' U' F U' F',U' B' R B' L2 B R' B' L2 B2 U',45
B2 F2 D F B' L U' D L R' D U' F2 D2 R' B' F2 R U' L2 R,x x,B L2 F' L' B' U' R' D' B,L F2 L D2 L2,R2 U' R' U2 R2,U B' R' F R' F' R' B,F R B' R B R2 F',U L' D2 R2 B' R2 D2 L2 F' L' U U,46
U2 D F' B' U' R D2 R2 U2 B2 F D F2 L' R' U' L2 R2 F' L2 R2 D2 R,x x,R D' R' U2 L D' F D B',U L2 D L2,U R U2 R2 U' R,B' U' R2 U R2 B,B' R' U' R U B,U F D' R D B F' R' U' R B' U,43
R2 F L' R' U2 F R B F2 D R L' F2 R2 B2 L2 B L' U B L',x x,L B' L D' F' R2 D' L2 D2,R2 U' L2 D' L2,U2 R' U R U' R2,U2 L' B R2 B R B' R B' L,U' B' U2 B2 U B2 U B2 U2 B',R' U L' U R U2 F R B2 R' F' B2 U L U2,55
R' L U R' L2 B L B2 U2 L' F' B2 D R F2 B U2 R B' U',x x,D' U' B L' D2 B2 U' L B,U' L2 R2 D L2,U' R' U' R2,U F2 D' B2 R D2 R' B2 L D F2,U' B' U2 B2 U B2 U B2 U2 B',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,54
U2 D' B L2 D' F2 B' R' B D' F2 U B2 D' R2 U2 L F' L D2 B2 F' L' F2,x x,U' R' D2 B R' B2 F2,U2 L F2 L',U2 R U2 R2 U' R,R' U2 R' U2 R2 U2 R',F R2 B' R' B R' F',U2 F' R B2 D L D' B R' F R B R' U',45
U B2 U2 D2 R B D L2 R2 D F2 R F L' F2 D L' R' B U2,x z x,R B2 U2 L' F' D' L2 B,B2 D' R' D2 R B2,F2 U2 L F2 L' F2,R' U' F2 U L' R U L,U2 R' U2 R2 U R2 U R2 U2 R',U' R2 D R' U' L U2 R' U L' U' R2 B2 D' R2 U',54
F R2 U L' B' F U2 F R D B' F' L2 D' U2 R' L D' F2 B L2 B2,z z,D2 L2 B' D F2 U R' D2 B2,U2 R2 D R2,U' L,U' L U L',U F' U2 F2 U F2 U F2 U2 F',L2 B' U2 B2 L2 F' D2 F2 D2 L2 B' U2 L2 F2,43
R' F L2 D2 B' D2 L' R' B2 F2 R2 B2 L' U' B2 D U B' L R2 F L F2,x x,L2 B' F' D U2 R' B' L' F L,L2 D2 L' F2 L',U' R2,B2 F2 L D L' B2 F2,B' U' R' U R B,B' U F' U2 R' U R B F U R' F R F',44
F2 B D2 F D L2 D L' R U' R2 L' B' L2 R' U' D F L' D R,x x y,D U R' D' B' F2 L' R2,,B2 U L U' L',U' R2 B2 D' R U' R' D B2 R2,U2 L' U2 L2 U L2 U L2 U2 L',U' R2 D' F2 U F2 R2 D B2 U' B2 U',45
F2 L' D' F2 B2 R' U' R U' B' L F' B' U' B U' B R2 B R2 F B' U,x x,L' B R2 B' R U' F' R' F,U' L2 R D L2,U' R' U R2,U2 F' L F' L' B' D' F' D B F',B' R' U' R U B,L U2 F R' D' L F2 L' D R U F' U' L',49
B2 R D' U2 B' U2 B R2 D B F2 L' D2 L2 B L F' U2 L2 U R2 F2 R2,x x,L2 B' R2 F2 U R F' L2,U' R2 U L2 D L2,U2 R U' R' U2 R2,U2 R' U2 R2 U R2 U R,B' R' F R' F' R2 B,U2 R U R' U R U2 R2 F R B' R2 F' R2 B U,51
F D B' R' L B' U' F B2 L R2 U' D2 B' R' U R D' F' L2 U2 R',x x y,F' D2 R' B' F2 D2 B' D,F2 R' D2 R2 F2 L',R' U L R U' L',U' U2 R U2 F2 L2 D L2 F2 U' R',U R' F' L' F R F' L F,L' B L' F2 L B' L' F2 L2,49
D L2 F L2 R D R L' D2 B F L2 B U F2 U' F' U2 D' B' D' U',x x,D L2 B2 F2 R' U' F D' R2 B,U L2 D L2,U R2 D R' U' R D',U B' F R2 B F' R U2 R',U2 B' R' F R B R' F' R,U2 L R U2 R' U' R U2 L' U R' U',51
U B' D2 L2 D B2 L' F L' D B2 F D L2 U2 D2 R2 F2 U F',x x y,B' U2 L D F' L R2 F' L,F2 D' L B2 L' F2,U2 B2 L' B2 L B2,U U L' U R' U L' R B2 L2,L' U2 L2 U L2 U L2 U2 L',U2 F' L B' U2 F R' F B2 D2 B2 R F' B,54
R F U' L2 U' B F2 D2 R L B F2 L' F' R' B F2 D L2 R D' F' U' L' R2,z z,F U2 R' F2 U2 B U2 L' B2,D2 L' R F2 R',L' U L U' L2,U2 L2 U2 L' U' L U' L2,U B' R B R' U2 B2 L' B' L B',U U L' R' F' U2 F L R B2 D L2 D' B2 U2,53
F' D2 L' B' L D2 U2 R' D R F' L R2 D2 L F2 U L B' U' L' B R' L,x x,D' R' U F2 D2 B' R2 U2 B',L2 D R' D' L2,D' L F2 L' D,B R' U2 R U2 R B' R U' R',B' R' F R' F' R2 B,U R' U' R U' R B2 R' B2 L' B2 R B' L B' R' U',53
F' D' L' F2 D' F D R' D' L D U' R U F' L2 B2 L F2 B2 U2 D R' B',x x y,B2 U2 F' U' R2 D2 F' L',,D L U' L' D',U B D' U2 B U B' D U B',U R' F' L' F R F' L F,U' F B U2 B' U' B U2 F' U B' U2,44
R D U' L2 F2 B' L2 R D' F' U R' U2 B2 U2 L2 F2 B U2 B2 F' L2 B',x x,U' L R2 U' F' L2 R2 U' F L2,U' L2 D L2,R D R' U' R D',U U2 B2 D' R D R D' R' D B2,L' B' U' B U L,U L U2 F R' D' L F2 L' D R U F' U' L' U,53
U B' F2 L2 U2 B2 R' B R' U D B' F' U2 R2 F' U L2 U' R' L' D' R B2,x x,F2 R2 F2 L D' B' F D2,U2 L2 D' R2 D' L2,D' U' R U R' D,F2 U' L' U L F2,F U2 F' U' F U' F',U' B2 D F2 D R2 F D B' D2 F D' B' U',47
L' U' B' F L2 U' F' D B F' D2 F' U' F' U2 F' D L F2 B D2,z z,U R' U2 B L2 U' L B' D2,U2 L R2 D R2,L2,F' L' U' L U L F,F R B' R B R2 F',U2 B F' L F2 U2 B2 F' R F' D2 F R' B U2,44
D2 F B2 D2 L2 F' R2 B D' R' F' B' L' U L' B U' R' B F' R B' L' U B,x x,R B' R2 U' L U F D' R B,L2 R2 D' L2,R' D' U' L F2 L' D,U B' R F R F' R B R U2 R',B' R' U' R U B,B' D2 L' F2 R' F' L R D2 R B R2 U2,51
U' F L F' D U R D' L' B2 F2 L2 R' B L D L B D L R2,x x,R2 D R F U' F D,U2 L2 D L2,R2 U' R2 U' R,U' U2 R2 U2 R' U' R U' R2,U B' U2 B2 U B2 U B2 U2 B',U' F2 U' L R' F2 L' R U' F2 U2,46
R' D' F U' B' L2 F R' B' F' L D L' U2 R' L2 B' R' D' U2 R',z z,U2 B' L F R2 U R2 B R F,L R2 D' L' D' R2,U2 L' U L U' L2,U B2 R D' R D R2 B2,U' B' R' F' R B R' F R,R' L' U2 R L B U' F U2 B' U F' U2,52
L' F2 D' F2 U D' R2 F U B' D F B' R D L B' R' U' B2 L R2 B2 U2,x x,D' B' L D U F R2 U B,L2 D R D L2,R,R U R2 U2 R U2 R,,U' R2 B2 R F R' B2 R F' R U2,33
F' U2 L2 U2 F U F L2 F' R' B R L2 U2 D2 R2 U2 B' L' B U2 F2,x x,B F' D2 U L' B' F' R D',L2 D' R' D' L2,R' U R' U R2,B2 R2 U2 B2 U B2 U R2 B2,U B' U2 B2 U B2 U B2 U2 B',U R' U L' U R U2 F R B2 R' F' B2 U L U,54
D R' B2 D2 L2 D2 U R B D' L U L' U' D' B D2 B' F' L2 U' B2 R2,z z,F2 U' B2 F' U L2 B2 U2 R F',L R2 D L' D R2,U L U L' U L2,U' L' U2 L U L2 U L,U B' R B R' U2 B2 L' B' L B',U2 U F2 R' B' L' F' L2 B D2 R2 B' L' B R' U2,57
F L R U D B F D F D U' F2 R2 F' R2 D L' B2 D' R U',x x,B R2 D L' B' D' L' F' D,L' B2 L' D L2,U2 R' U2 R2,U2 R U R2 U' R U R,B' R2 F R F' R B,U F2 R D2 L D L D' L2 D2 R' L F L' F,48
F' B' L U R' U R D2 L F B2 L' U2 B' L' R' F2 R' U' F' L B' D R' U2,x x y,B' D2 L F2 D2 U' B' D2 F,F2 D R' B2 R F2,U2 R' U' R U' B2,L' R B2 L R2 U2 R,R' F' L' F R F' L F,U' L2 D' R2 D' F2 R' D' L D2 R' D L U,50
F2 D R F' L2 B' D U' L U D2 B2 L' F2 L2 U2 F' L B D2 F2 U',x x,R' D2 L2 F U2 B L' R' D',U L F2 L',R2 U2 R2 U' R2,B' U R U2 R U2 R2 U' B,U F' L' B' L F L' B L,L' U2 L F R U' R' U' F' U' L F' L' F U',51
L' F2 D' R' F U2 D2 F' B2 U' F2 B2 L2 D U2 R2 L D' U' F2 U',x x y,F' U B' F' U2 B U F' R',B2 U F2 D F2,D' U' R' U' R D,U U R2 U2 R U R' U R2,B' U' R' U R B,F2 D' L2 B' R' F U2 F' R B D F2 U',48
F2 B U' D' L U D' R' F' U L2 U R2 L D' R2 B2 U' B' U2 R D F L,x x y,D2 L B' F' U' R2 F U R2,F2 L' D F2 U2 R',B2 R' U R U B2,U2 L' U' L U' L' U2 B2 L,U R' F R F' U2 R2 B' R' B R',U B' R B R' U B F R U R' U2 B' U F',56
F2 L' U2 L R2 B' F' D2 R2 F2 D' U B U R2 D2 R' L D2 F2 L2,x x,D2 L R D U2 F' D' U B',U' L2 R2 D L2,R' U' R,U U R D' U2 R U R' D U R',F U2 F' U' F U' F',U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',51
D' R2 B R' F' L R2 U' F R2 U L' D2 R' D' F U2 B' F2 U D' B,x x,D U2 F L R' U2 F D,U' L2 R D L2,U R2,U B' D U2 L' B2 L D' U2 R B,B' R' F R' F' R2 B,R D B' U B' U' B' U B2 D' U' R' U',46
D R2 B' L' U' B' L' B' L F L R F U F U2 R' U R U,z z,L2 U2 B R2 D2 U' F' L B2,D2 L R' B2 R,U2 L2 U' L,D F2 D' L U2 L' D F2 D',B' U' R' U R B,F R' F' L2 F2 R L' F' U' R U' R2 F' R L' U',49
F B2 R2 U2 F2 B2 R2 B R D R' F2 D2 U L R F' B2 L2 F' R' B' U2,x x,F2 U' L F U2 L' R2 U F2,L' B2 L' D L2,R U R2 U' R,U R' U2 R' U2 R2 U2 R',F U' B' U F' U' B,R2 F2 D2 L2 F' B' D2 R2 F' B' U',45
B' R' B F' L' B' L' R F U F U2 L2 F2 B R' L2 U' L2 U' B' U' R2,x x,F L2 D R U L' B U' F2,U L2 R D L2,U' R U' R' U2 R2,R U R2 U2 R U2 R,U' B' U2 B2 U B2 U B2 U2 B',U' B2 D F2 D R2 F D B' D2 F D' B' U',51
U D2 L B' L R' B2 F U2 D2 F' D R L2 F' R' F' B L R F2,z z,D2 B2 L B' L F' D' B' D2,U L' R2 D R2,L' U L U' L2,U B2 D' F2 L D2 L' F2 R D B2,F R2 B' R' B R' F',U2 B L' B L2 F' L F L2 B2 U2,48
U D B D2 F2 L2 F B2 D' F D R F' R2 F2 B L' U' B F' L D' F2,x x,L2 B' U F' D' L' B' R' B2,L2 D R D L2,D' L F2 L' D,U B' F R2 B F',B' U2 B2 U B2 U B2 U2 B',B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U,49
D R2 F' B L' R' B2 U' L' U2 B' F2 R' D' U2 R' F U2 R U' F2 R',x x y,F R D2 B D B2 L' B',F2 R D R' D2 F2,L' R B2 L2 R' U' L',L' B2 L U2 F' L' B2 L F,B' U' R' U R B,R2 F R B F D' L D B' F2 U' R U',49
B F L' D' F2 L F U2 D F2 L2 D' F2 L2 U B' L U' L' R U R2 U2,z z,F2 D' R F2 L R2 U B' L' F,B2 L' R D2 R',U' L2 U' L2 U' L,R U' L U R' U2 L',B' R' F R' F' R2 B,U2 R' U2 R U B R' U L U' R U2 L' B' U2,50
U2 R2 L2 D B L' B R' D U F D F B2 R' F R2 F' B2 L2 B2 D B2,x x,B2 R F2 L' F2 U B2 R2 F2,R2 U' L2 D L2,R U R2 U' R2,U R U2 B' R B R2 B' R B,U2 B' U2 B2 U B2 U B2 U2 B',U B' R B' L2 B R' B' L2 B2 U,50
L B2 D L' F R2 L' B' D2 R F U' B' L2 U2 R' B F2 U' F B' D',x x,F' D' F2 R' F' D2 U B',U2 L2 D L2,U2 R2 U' R2,U R U' L2 D2 R' D2 L2 U2 R',U F' L' B' L F L' B L,U F2 U' L R' F2 L' R U' F2 U2 U,47
F D' U B2 D2 L2 B U B F2 D2 B' R2 F' L2 B2 U F' R' U2 L2 F,x x,B U2 L' F' L2 U F' L,L2 D2 L2,R' D' U' L F2 L' D,B' R2 U' R2 U B R U R',B' R' U' R U B,U2 F' R B2 D L D' B R' F R B R',46
B L B2 U2 B' F' D R U2 L B R U L' B2 F' D L2 D R2,z z,L2 D' F U L2 D2 U' R B',D2 L' R F2 R',L' U2 L U L2,B' R U2 R' U2 B U2 F2 L F2,B' R' F R' F' R2 B,U' L' U' L U' L F2 L' F2 R' F2 L F' R F' L' U2,53
F2 D U' F' D' U B' U D L2 F L B2 F2 R2 B' F2 R2 D2 U L',x x,U2 B2 F' R U2 R2 F2 L2 F,U2 L2 R D' L2,R2,U' B' D' U L F2 L' D U' B,U' B' R' F R B R' F' R,U2 L U' F R' F' L' F R F' U' L U2 L',48
F U2 F2 U2 F2 L2 D2 F' D' F B2 L' U D' B2 F' D' F' B' R',x x y,R B L' D B U2 B' D2 R2,F2 D2 F2,D L U L' D',B' U2 B2 U2 B2 L U L' B',L' B' R B L B' R' B,U' F' B' U2 F B R U' L U2 R' U L' U,48
D' L R B2 R' D F' B' R' F R2 D' L R D' R' B2 U2 L U R B' D2,x z x,D2 B U' L' B' F' R2 F2 D B',L2 B2 R' F2 R2 B2,R' D' F2 D R U F2,U2 L' U L U' R' F2 R,B' U' R' U R B,U B' U' B' R' U' R U B2 U2 B' U' B,50
U2 R U2 F' D2 L F' D2 R2 D L B F2 L F B2 R2 L2 U' D F',x x,F2 R' U2 B R U F' D,U' L2 R' D L2,U2 R2 U R2 U' R,B' R U' R U R2 B,U B' U2 B2 U B2 U B2 U2 B',U2 F2 L2 U' L2 D F2 D' F2 U F2 U',48
D2 U' F L R' F' L2 R B2 L2 D' R' F U L' B' U' B2 R' L' B' R2,x x y,R2 U B L F L' F D' B',U' F2 D F2,D U L U' L' D',B2 U L U' L' B2,B' U F U' B U F',U' F' L B' U2 F R' F B2 D2 B2 R F' B U,47
R D U2 F U B' D2 B' F2 D' F U2 F2 D' R2 B F R2 U R B2 U L' U' F,x z x,B' D B2 U' F' R' F' D' B' R',B2 D2 B2,F2,U2 U' L B2 R2 D R2 B2 L',R' U2 R2 U R2 U R2 U2 R',U' L2 B2 U' B2 D L2 D' L2 U L2 U',44
B2 D2 L' U' D2 R2 U B2 L F' U' F D' F2 R' U2 R' D' B' R2,x z x,R D2 U2 B2 R D F' D,L2 B F' D2 B' F',L F2 L' U F2,U F2 U2 L F2 L' U2 F2,U' R' U2 R2 U R2 U R2 U2 R',U R2 D L2 D F2 L D R' D2 L D' R' U',51
F U R2 D2 F D2 U B2 L' B R D2 B' U2 R U2 R' F' L' U',x x,D L' F U2 B2 F2 L R F',L2 D' R D' L2,U2 R,U' R' F R B' R2 F' R' B,U2 F' L' B' L F L' B L,B' R B' L2 B R' B' L2 B2 U,44
R2 U' R2 F' R2 L F L D2 R2 F2 U2 B D U2 R2 D2 F2 R2 F2 B' L2 F' R',x z x,D U2 R2 B' F2 R D' B D,L U2 L' U2 L',U R' F2 R2 U R',U' L' U' L,R' F' L F R F' L' F,B' U2 B L F U' F' U' L' U' B L' B' L,46
R2 U2 B' F' D B' L U2 D' R' F' U L' F2 D' L' B' R U' L2 B' U L B',x x y,B' L' B' D B' F' L B D2,R2 B2 R B2 R2,U2 B2 U2 B2,R F2 R2 U L2 B2 R' D L2 R2,U L' U2 L2 U L2 U L2 U2 L',U R2 F2 U' F2 D R2 D' R2 U R2 U2,50
F2 L2 R B L R' F2 B' L U B' D' L' F' U2 F D R2 F' L2 U2 B U' L',x x,D B L R' D B2 F,F2 L D L' F2,R2 U R2 U' R,U R' U2 R' U2 R2 U' R',U2 B' U2 B2 U B2 U B2 U2 B',U2 L2 U F' B L2 F B' U L2 U' U',47
D' U2 F' B' D2 F D2 R' F' R' F' D2 B F2 L2 R' F' D R F B2 R' D,x z x,D' R2 F2 U L' F L2 R2,L2 B2 R F2 R2 B2,R U R' U F2,D' L2 U' L U2 L' U L2 D,U L' B L B' U2 L2 F' L' F L',R2 F2 L F L' F2 R F' R U2,49
U D2 L U2 L R' D F2 D' R F' D2 F' R U2 R' U2 R L D' R,x x,L B L' U' L B' F2 D2 F2,U' L F2 L',D R' U R D',U U F L2 B' R2 B L2 F',F U2 F' U' F U' F',U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,49
U2 L U' L2 B2 U2 B2 L' B2 F U D R F L2 B L R D L' F U L R2 D2,z z,D' L F' L B2 F U' B' F,U L' R2 D' R2,D' R B2 R' D L',U' L' U' L2 U L,U2 F' L' B L F L' B' L,L2 B2 D2 R2 B' F' D2 L2 B' F' U,46
U2 R U R F2 D L' B2 R2 L2 B L' R U2 D R D2 L2 B' D2 U R',x x y,F' D' R F' D U B' R F',F2 D2 R' B2 R F2,R U B2 U' R',L' B2 U B2 U B2 U' L,U R' F R F' U2 R2 B' R' B R',U' U' B R B' R2 U' R2 B' R' B' U' B2,52
D2 R' B' L2 U' D2 B2 D L' B D B F U' B' U2 B F2 U2 B2 D F',x x y,L F' U' F' D2 B' F2 L,F2 D' B2 D' F2,D' R' U2 R D,U2 L D2 R' U F2 U' R D2 L',U L' B' R B L B' R' B,U2 L2 D R2 D B2 R D L' D2 R D' L' U',51
B2 L B L' B' L2 D' B2 F' U2 D' F' U F2 D2 R2 B' U2 D B2 R2 U' L U B2,x x y,B' F D2 U' B' U2 L2 R,R2 B2 F2 L2 F2,U L U' L',U R L' D L' D R F2 D2 R2 L2,U' L' U2 L2 U L2 U L2 U2 L',U L2 D R2 D B2 R D L' D2 R D' L' U' U,53
B2 R L2 U2 B' F2 U2 R B' D U B U2 R' F L R B2 U F2 L2 R2 D' R',x z x,B' L' D' U F' R2 B D B',U' B2 D' B2,U' F2 U' R U R',U' R' L2 F2 U L' U' F2 R L2,R' F' L F R F' L' F,U2 U' L2 D' B2 U B2 L2 D F2 U' F2 U2,50
U2 B U2 B2 L B' U' D' F' D2 U' B F U2 R B' U' B F2 U,z z,F' U2 L B R D R,L U' R2 D R2,U' L' U' L,L F2 D R' D R D2 F2,F' U2 F2 U F2 U F2 U2 F',U' R2 U B' F R2 B F' U R2 U' U2,45
