scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
L U F B' D R' L U R2 F U' B' F R' L' B2 D' B F R' U2 L R2,x2,D L2 B' L U' B',U L R U' L' U2 R',U' R U' L' U R' U2 L2,U' L2 D L' U L D' L2,D2 R' U2 L2 R D2 R',U' F' L' B' L F L' B L,F2 U' L R' F2 L' R U' F2 U2 U2,56
D2 F2 B2 D L' D' L' D2 L U2 L' U2 R2 D' R2 U2 F B L B2 F2 U R,x2,D2 U2 R' B' D' F,U' L R2 U2 L' R2,D2 U2 L' D2 L2 R' U2 L,U2 L2 U2 L' U' L U' L2,R2 U2 R U R' U R2,U F2 D' B L2 B' D F U2 F,U2 L R U2 R' U' R U2 L' U R' U,57
D2 L U R F2 R B2 D' B' L B2 F U2 F2 R B' D B' F2 U2 D2 B' R U',x2,D' U B' R B' L' F,L' D2 U L' R D2 R,R' U' L U' R U' L2,U2 L U L',L U' R' U' L' R,B' U' B U' B' U2 B,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,54
F U2 R F D2 U' R' F R' B D F2 B L' U' B' U L R' D R' L,x2,F R U2 L' D' F',L U' R U2 L' U2 R',D2 R2 U R' U2 R' D2 L2,L' U2 L2 U L2 U L,D2 R2 U' L2 U R D2,U2 R' F' R B' R' F R B,U L' U2 L F R U' R' U' F' U' L F' L' F U,60
D U2 R D' F B D L2 F R' U R' U' D2 B2 R L2 B' R' F2 U' R2 B,x2,L F D B U B,R' U' L' D2 U' L' D2,L U L' U2 L' U' L,,U2 R2 U2 R U R' U R2,F U' B' U F' U' B,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U,50
L B2 R' L' U' L R2 U' F B D2 F2 D2 B R' F2 D R B2 R' L F' D R U,x2,D2 L' R2 F' L' D,U2 R U2 R' U2 R U2 R',L2 U2 L U L' U L2,D2 U' L R' D2 L,U' L' U L R U R,U' R' F' R B' R' F R B,U' L' U2 L F R U' R' U' F' U' L F' L' F,58
U' B U2 L' B' F L2 F2 D' F L B' D B' F' D' F' U' R' U,x2,B' L D' R2 B',L' U2 L R2 U R2,L' U' L U' L' U' L,U2 L' U' L2,,U' F' L' B' L F L' B L,U F' L F L' R' F L R' F L' F' R2,44
B2 R2 U' F' D2 R' B' U2 R U2 R L F2 D B2 L' U' D' L' R2,x2,U R' B F D L2 F,R' U2 R' U R',D2 U' L' U' R2 D2,L U' L',U R U2 R2 U' R2 U' R',B' U' B U' B' U2 B,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',51
L2 U2 F U' B' U2 B' D2 R F2 L U D2 F2 U' L2 D2 F2 L' B' U',x2,L B F R' B' D,D2 U' R' U2 L' R D2,U2 L2 U' L' U' L2 U' L,U2 L2 U2 L' U' L U' L2,R' U2 R,F' U2 F2 U F2 U F2 U2 F',U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,56
F' L2 B D2 L' R' B' D' L' D R2 L F' R L2 U2 D L' R' D' U' B2 L B2,x2,D' F' U2 R B' D F,L D2 L2 U R' U' L' D2,R' D' U L' U' L D R,L' U L2,U' L' U R' U' R,U' R' F' R B' R' F R B,U' L R U2 R' U' R U2 L' U R',52
