scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
D' R F2 U B2 F U D R' F U' D R2 F B D' F' B2 D R D' U2 B D R,x2,F D2 F R' U' B' F,L' D' L U L' D U2 L,L' R' U2 R' U R',U2 L U2 R D2 L D2 R',L U' L U2 L2 U' L2 U' L2,B U' F' U B' U' F,B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',60
F R L D2 L' U B' L' F' L' F D' B' R' U' D' L2 U2 B2 L2 R B L' F,x2,D L2 F D' B' D',U' L2 R' U' R U L,R D2 L U R' D2,R2 U' R U' R' U2 R2,L2 D L' U L D' L2,R' U' R U' R' U2 R,U2 L' U2 L F R U' R' U' F' U' L F' L' F,55
F2 B2 D U2 F' U2 D2 R' F B2 D2 R U2 D2 L' B2 F U2 B2 F D',x2,F L2 F2 R' B' D F',L' U' R U2 L R',U2 R U2 R',R U R2,U2 L' U L2 R' U L2,F U' B' U F' U' B,U L' U2 L F R U' R' U' F' U' L F' L' F U2,50
D2 U L2 B' R' L U2 B' U F D F' D2 F' U L F2 B2 R F R' F' L,x2,B2 L' D' F R' B',U L U2 L2 U' L,L U R U2 R' U R',L U L' U' R' U' R,R D L U' L' D' U R',F' L' B' L F L' B L,U B2 D F2 D R2 F D B' D2 F D' B' U' U',57
R' U B' U' F' U2 F' R F' B2 U' F' D2 F' D F' R D U' B L F2 R2,x2,D' L' R B D2,U L' U R' U2 L2,L U L' U' R U R',R' U R U2 R,U' L U L',U' F' L' B' L F L' B L,U2 L2 U F' B L2 F B' U L2 U' U,48
B2 L' B2 L2 F2 R' D L U B2 U2 F L D U2 R' L2 D2 F U' F B2 D' R',x2,F' U' B' D' R B,L' U L U' L,U2 R U2 R' U' R U R',R' U L R U' L' U' R2,U' L U2 R U' L' R',U2 F2 D' B L2 B' D F U2 F,U2 F2 L2 U' L2 D F2 D' F2 U F2 U2,56
U' L' R2 F' B2 L' B2 U' F' L U2 D2 R2 B' U2 L' R2 F2 D' B' U D B,x2,D U R' F' R2 B' D,U' L' U' L,R2 D2 R U L D2 R,U' R' U' R,L' U L',U' F2 D' B L2 B' D F U2 F,U L' R' U2 L R F U' B U2 F' U B' U',49
U B2 D2 U2 L2 R2 B F2 R B2 F R2 U' F' R' F B R2 B F2 R2 U' D R2,x2,L B2 F D2 R2 B',L' U2 L U2 L' U2 L,D' L D2 R D2 L' D,L' U L R' U' R,U2 L2 R' U2 L',R' F' R B' R' F R B,L' B R' U2 L F' L R2 D2 R2 F L' R U,53
B' L R2 U' F' L2 U L2 F L' R' U R D' F L2 R' B' L2 B2 R B R2 F' U,x2,F L' B2 R' D B,R' U' R' U' L2,,L R' U R' U L' R2,U' R U' L U L' R',U F' U2 F2 U F2 U F2 U2 F',U2 L' R' U2 L R F U' B U2 F' U B' U,49
F2 L' F' B' U2 R2 F2 D2 B2 U L' F2 D2 R' F L2 D B L2 R,x2,F' L' R B' R D' B',U2 L' U L U L' U' L,R U L' U' L R',R' D2 L' D2,L U' L U L',F U2 F' U' F U' F',U' B' R B' L2 B R' B' L2 B2,47
B U B2 R D2 R2 F' U' B2 D B F2 L U' L D' B F' L2 D' R,x2,U R2 D B' D2,R' D2 L' D2 R,U' R U2 R' U' R U R',D2 L' U' L R' D2,U2 L U L',B' U2 F' B U L2 U L2 U' L2 F,B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',53
D' F U B R2 B L B F U F' R' D2 B2 F R U2 R' B2 D2 F' D2 R' F2,x2,F' U' L' F' D' R2 B',R' U L' U' L R,D' L' U' L D,L' U' L U' R2,D' R' U' R D L',,B2 D F2 D R2 F D B' D2 F D' B' U',42
F R D R F' L D2 F D' U2 B D2 U' L R2 B2 F D2 R U2 L' F' B' U',x2,U B' L R' D U' F,R U R U L U L2,L' D2 L U' L' D2 L,L R2 U' L' U2 R2,R2 U' L U L' R2,B U' F' U B' U' F,L R U2 R' U' R U2 L' U R' U',51
R D L R2 F L' F2 U2 F' D' F' B2 R' F2 L F' B2 L2 U D2 L' B' U R L,x2,F' L2 D L' F' D',D2 U L U R2 D2 L',R' U2 R',U L R' U L' R,L' D' L U' L' D L,U' F' L' B' L F L' B L,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U',53
F R' B U2 L D U' L D2 B' L2 U B' U B' U D R B2 D' U B,x2,U2 L2 D' B' F2,U2 L' R2 U L,L' U R' U' L R2,R' U2 R,R' U' L U2 R' U2 L',U' F' L' B' L F L' B L,U2 F2 U' L R' F2 L' R U' F2 U2 U2,47
B L2 D F' U' D2 L' D' U2 L2 R2 B F R' F R' D' U2 F U2 R2,x2,L B2 D F' R B',L2 U2 L U L' U' L,U R' D2 L' D2 R,L2 U R U L U2 R,R' D2 U L U' L' D2 R,U R' F' R B' R' F R B,F' L F L' R' F L R' F L' F' R2 U2,56
F U B' F L' D2 B F2 R2 U2 B2 R D' B' U' L2 D R2 U' L R2 F B2 D2 L,x2,F' D' U' B' L D,U L' U L U2 L' U2 L,R U2 R' U' R U R',U2 R U2 R' U R2,L' R' D2 R D2,U R' F' R B' R' F R B,U' L R U2 R' U' R U2 L' U R' U,53
L' U' B' R D2 U' F B U R B' D2 R B2 U' D2 F L' D' L' F',x2,L F' L R2 B' D,U' L2 U L U' L,U L R2 U' L' U2 R',R' D2 R U2 R' D2 L U2 L' R,L2 U L2 U L2 U2 L2,F' L' B' L F L' B L,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,60
D R2 B' D R' L2 B' L2 U' D B' F L R2 B' L' B F L2 R2 U B L' F' L2,x2,D L' F U2 R D' B',D2 L2 U L2 R D2,R2 U' R U2 R U2 R2,U R' U2 R U R' U2 R,L R2 U' R' U' L',F' U2 F2 U F2 U F2 U2 F',U R2 B2 R F R' B2 R F' R U2 U',55
R2 U' R' L' U2 L F' D2 L F' L2 B F' R' L' U F' L' F' B,x2,R' F2 L F' U2 B' D,U' L U' L U L,D2 L2 U' L R' D2 R,L' U R' U' L U2 R,R D' R' U R D R',B' U2 B U B' U B,U F' L F L' R' F L R' F L' F' R2,54
U D R' F' D2 L' R' U' L2 B U' B' U2 F2 U2 F R2 L2 U B' F D,x2,L D' R' B' L2 D' F,U L' U L U' L2,R' D' R U2 R' D R,R' D' R U R' D,L U' L',U' F' L' B' L F L' B L,U F' L F L' R' F L R' F L' F' R2 U2,52
R D' L2 F2 D2 F L R2 D2 F D L2 D B2 D2 R2 D R2 F R2 F2 L B' R,x2,B U2 F' L D R B',L R2 U' R' U2 L2,L2 D R' D R' D' R2 D' L2,U R' U R2,D2 L R U L' R' D2,F' U2 F2 U F2 U F2 U2 F',U' L' U2 L F R U' R' U' F' U' L F' L' F U',58
U' D B2 F R' F' R F2 U2 D2 R' B' L' F U F2 B R2 D2 U2 B' D U' R2 F',x2,B R F D' R2 B',U L,L R' D2 L R' D2,R' U2 R' U' R U' R' U2 R2,D' U2 R' U' R D,U2 F' U2 F2 U F2 U F2 U2 F',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U,54
R B2 D R2 D L F2 R L' B' U B' U L2 D2 B' U2 R2 F L B2 U',x2,D L' U2 F2 R2 B',D2 R2 U L D2,R U R',U' R' U' R,U2 L R' U2 L',U2 F' U2 F2 U F2 U F2 U2 F',U' F2 L2 U' L2 D F2 D' F2 U F2,44
L2 B2 U2 B L2 F' L' B L U2 R' B' L2 F' L2 U2 D B' R' B,x2,R F2 U' F U2 B',D2 U R' D2 U' L2,D' R U2 R' D R,U R2 U2 R2 U R2 U R2,L R U' L',U2 R' F' R B' R' F R B,U' F2 U' L R' F2 L' R U' F2 U2 U2,51
L' U' B' U2 D2 L' D L2 U2 B U2 R2 D2 U R' B' D U' B' R' B2 D F' U2,x2,U F' D F' R B',U' L2 U' L,L' U L U R U R',R' U R2,L U2 L',F U2 F' U' F U' F',U2 R2 B2 R F R' B2 R F' R U2 U',42
F2 U' F2 D U L U L2 R' F D' U' B2 R U D' B2 R2 B' R2,x2,D2 F D' R B D' B,U' L U2 L' R' U2 L2,R2 U L U2 L' R2,U R' U2 R U R' U2 R,D L U L' D',U F2 D' B L2 B' D F U2 F,U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,59
D2 L' U F' B R2 B U F B U B F' L2 B2 L' D B' D R' D' U2 F2 U,x2,F' R' F' U2 L' D F,D2 L U2 L R' D2 L',L2 D2 L D2 L U2 R',U2 L U' L' U' R' U' R,L U' R U' L' U R',B U' F' U B' U' F,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',59
U2 B R2 F' R' F' D' R U' L F' U' D R2 U' B R2 F2 D' U2 L' F L',x2,F2 R' B D' L2 F,L' U' L2 U L2,D' R U' R' D,L D2 R' U' R D2 U L',R2 U' L R U' R U' L',U' F' U2 F2 U F2 U F2 U2 F',R' D B2 L2 D L' F2 L D' L2 B2 D' R U,56
B' U B' D' B' R U2 R F R2 U' L2 F' L D U F R2 U2 B D2,x2,D2 L F R2 B,U2 L U' L U L,L U L' R2 U R2,R' U' R,L' U2 L2 U L2 U L,R' U' R U' R' U2 R,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B,48
U' D L' D F L' B D2 U2 F2 B' L R2 U2 F U2 D L' D' R' L,x2,R2 D B' L R' D' B',L,D2 L' R2 U2 L' D2,R' U R U2 R' U' R,L2 D L' U L D' L2,F' L' B' L F L' B L,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,52
F2 R' D B' D2 R' B U D F L D R2 F R' U R U2 F D2 L' F' B' L2,x2,L D' F,L' U2 L U L' U2 L,L2 R' U2 R',U2 R' U2 R,R2 D2 U L2 U' R' D2 R',F2 D' B L2 B' D F U2 F,U F2 L2 U' L2 D F2 D' F2 U F2 U',47
B F' L2 U2 B' D2 L' U' D2 F L2 D' L U2 B L' R2 F' R B2,x2,F' D R' B' R' D',L' U' L' U2 L2 U' L,R U2 R',L' R U L' U R,L U L' U L U L',U' F' U2 F2 U F2 U F2 U2 F',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U',54
L D' F L2 B2 L' R' U2 D' L' D L R B2 D' B2 D U' R F' U',x2,L2 D B L U2 R' B',L U2 L2 U' L,L D2 U R D2 U R',L R' U2 L' R,R' U L2 U' R U L2,U B' U2 F' B U L2 U L2 U' L2 F,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2,57
B' D2 B' F U2 D L2 D B' D U2 L2 R' B F D B2 U L D F2 U L U2 D2,x2,B L' U' F' R' D,L' U L U L' U' L,R U2 R' U2 R U R',D2 R2 U2 L R D2,R' U L' U' L2 R,F U' B' U F' U' B,L' B R' U2 L F' L R2 D2 R2 F L' R U',53
U F D' B' L U R F U' B2 L R2 B2 D2 U L2 U2 F R2 D' U' L',x2,B' F L' D2 R B' D,L2 U' L2,L D R U2 R' D' L',D2 R U2 L2 R' D2,L U L',U2 F2 D' B L2 B' D F U2 F,U2 U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,51
U F2 D R F2 U' B2 F R2 D2 F' D U L' F' D' U2 L F B2 U' B2 R' D L,x2,D' L' B' D U2 R' B',U' L' U L U2 L' U2 L,R U R' D' L' U L D,R' U R' U R' U' R2,L2 R' U' L2 U' L2,U F' L' B' L F L' B L,U2 L R U2 R' U' R U2 L' U R' U,57
R2 D' R2 F2 D' L' U' D2 F2 L2 U B2 U' D2 R2 U' B2 L' D U2,x2,B2 U' F2,L2 U L U L2,L2 D2 R U2 R' D2,R U L U R,L2 U L2 U L2 U2 L2,U' F' L' B' L F L' B L,U2 L R U2 R' U' R U2 L' U R' U,47
U' B D2 L' B F U2 L2 U L' B2 D' B2 R2 L2 D2 U' B U L2 D U2 B2,x2,U2 L B' R D' B' F',D2 R' U' R D2 L2,D2 L' R' U' L' R2 D2,D L U L' D',U L U' L' U' L U L',B' U2 B U B' U B,L' U2 L F R U' R' U' F' U' L F' L' F U',55
B U D L' U R' U2 R' U R' B F L F' B U' L' F' R F2 D' R U' D2 F,x2,F2 U R U B' D2,L' U' L,R U2 R',L R U' L2 U' R2,L2 U L U' L2,B' U2 F' B U L2 U L2 U' L2 F,U2 R2 B2 R F R' B2 R F' R U2 U,46
F2 B U2 D' B F' R2 U2 B2 D U F2 L F' R2 D L' R' F2 R U B2 D B,x2,U2 R D F' U B',L' U L U L' U' L,L' R U2 L R' U2 R2,R' U' R,U2 L D2 L2 D2 L,F' L' B' L F L' B L,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,52
R2 F D2 L2 R2 B' L D' L' F U D' F2 L' D' L' D2 F R' L',x2,L2 F' R U' B' F,U L D2 R' U2 R D2,L' U R' U' L U2 R2,L2 D' R D' R D R2 D L2,L U R' U' L',U F' L' B' L F L' B L,U' B2 D F2 D R2 F D B' D2 F D' B' U',57
D F' U2 L' B' R2 L' F R L F2 R2 D' L2 R2 F L2 B2 D2 L' B2 D2,x2,D2 U2 B L R2 D B',R U R' U2 L2,U R2 D U2 R' U' R D',R U2 R2 U' R2 U' R',D L D' U2 R2 D L' D',R U R' U R U2 R',U B' R B' L2 B R' B' L2 B2 U,53
D2 F2 R2 B' R' F B' D2 B' D L2 D' B2 R' L B2 U2 F2 U' B2,x2,D' L2 B2 R' B' F',R' D' U L' U' L D R,R2 U2 R' U' R',U R' U' R,D2 U R U R' U R' D2,F' U B U' F U B',L R U2 R' U' R U2 L' U R',48
B L' D L' R B' D' L2 B2 F2 R F' R U B F R' D' R2 B' F2 U2,x2,L B' D L' F' D,D' L2 D L' D' L' D,U L R U L' R2,R U2 R2 U' R2 U' R',R D' R' U R D R',U2 R' F' R B' R' F R B,R2 B2 R F R' B2 R F' R U2,52
D F D B' D2 F' L' U' D2 F2 U2 R2 U' L2 B D2 U2 L' B' U' B' F' L',x2,F2 D U' F' D,L' U2 L U L' U' L,R U' L' U' L U2 R2,U' R' U2 R U R' U' R,L U2 L' D2 R' D2,B' U2 B U B' U B,L' R' U2 L R F U' B U2 F' U B',52
R U' F B' L' B2 R2 U R B' F' D U B U' R2 D' U B F' L2 R D R D',x2,L' F U' R' B,U2 L' R U2 L,U' R2 D' R U R' D,L D2 U' R' U R D2 L',D2 U2 L R2 U' R' D2,U' R' F' R B' R' F R B,B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,55
D2 U2 L' R2 B' L2 D2 B' R2 B' L R2 D B2 L F2 U B2 L2 U' D2 F B' D',x2,B F' U B2,L' U2 L D2 R' U2 R D2,L U' R U2 R2,L D2 L' U L D2 L',U' L2,U R' F' R B' R' F R B,B2 D F2 D R2 F D B' D2 F D' B' U',48
U' L' D' L' D U' B2 R' L2 B U B2 L' R D R2 L' F2 L2 F2 B' L',x2,B U L' U' B' D',L' U' R' U2 L2 R,L' R D2 R' D2 R,D U L U L' D',U2 L2 D L' U L D' L2,R U R' U R U2 R',U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,54
D U' F' B' L U' R F' B R F D' R U' F B' D' B D2 F,x2,L B' D2 F' R' D' B',R D2 L' U' L D2 U R',R U R',L2 R2 U' R2,U2 L U' L',U2 F' L' B' L F L' B L,U' L' U2 L F R U' R' U' F' U' L F' L' F U2,51
F2 B' U' F2 D2 U L2 F' R2 U2 F' U' F R B F R2 D' L D R' D' F2 L2 F,x2,L' F L R2 D U B',U' L' U2 L U2 L' U2 L,U L D2 U' L' R D2,D L U L' D',U' L' U' L' U' L2,U2 R' F' R B' R' F R B,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',58
U B2 U2 F B2 R' U' F2 D R D' F' B2 D U2 L B U' D F' D' F B',x2,L' R2 B2 F' R' D' B',U' L2 U L' U' L,R U' R',R U L U' L' R2,L R U R' U2 L',U' F' L' B' L F L' B L,U2 R' U L' U R U2 F R B2 R' F' B2 U L,52
R2 F2 R' U2 F U B2 R2 F2 B2 L' D U' L2 F B' D' R' L' F' R2 U L' F,x2,L' F' D' U F,D2 L' D2 L2 R' U2 L,U L U' L' R',R' U' R U R' U2 R,U' L U2 R' U2 L' R,F' U B U' F U B',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U',53
D' U2 R' D2 R D' B R B' F U' D2 B D L D' B R D' U' F2 D' F R U,x2,L2 F U' L' B R F,R D2 U' L' R D2,U2 R U2 R' U' R2,U' L' U R' U' L R,R' U' L U2 R' U2 L',F' U2 F2 U F2 U F2 U2 F',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',57
L B' F2 R2 F2 L' F L' B2 U F' B' L B2 U' F B D2 U' R' U',x2,R' B' D L' D2 F',L U R' U2 L2 R,R D2 U2 L' R' D2,R U2 R2 U' R2 U' R',U2 L U L',B' U2 F' B U L2 U L2 U' L2 F,U2 L R U2 R' U' R U2 L' U R' U',52
R2 B2 F R' B2 L2 U D2 F' R' F2 R D2 U2 L B2 F' D2 F' D2 B',x2,L' B2 L R F' D' B',L2 U' L2 U' L,U2 R2,U' R' U' R,D' U2 R' U2 R D,U' F2 D' B L2 B' D F U2 F,F' L F L' R' F L R' F L' F' R2 U,47
U' F U2 R' D2 U F' L B' L2 F L' U F2 D' F' D L' D L D L F' U' L,x2,L B2 L' R2 D' B' F,U L U L2 U2 L,U2 R' U' R' U R',R' U R U R' U' R,R D L U2 L' D',B U' F' U B' U' F,U' L' B R' U2 L F' L R2 D2 R2 F L' R,53
R2 B' R' L D2 U2 B' D' R' U' F R2 D2 B D' L' U' B2 R' U2 B' U L R,x2,B L' R F' L2 D',L' U' L U L' U' L,L' R' U L R U R',R2 D' R U' R' D R2,L2 U L' R' U2 L',R' F' R B' R' F R B,R2 F2 D2 L2 F' B' D2 R2 F' B' U,52
R L' U R2 U' F' B' D' B2 L2 D B2 F2 R2 D' B2 D' L' B' R2 L F2,x2,D L B2 R2 D' B',L U' R U2 L,L R U' L' U' R',U2 R U' L U2 L' R,L U' L',F' U2 F2 U F2 U F2 U2 F',F' L F L' R' F L R' F L' F' R2 U2,49
U2 F U' D2 B' D F B' D' B' F2 R2 B2 U D L2 R2 F' U L F2 D2 L' R' U',x2,B L2 R U' L' D' B,L' D2 L' R' U2 R D2,R' U' R U' R2,U R' U' R U' R' U' R,L U2 L',B U' F' U B' U' F,U B2 D F2 D R2 F D B' D2 F D' B' U' U,52
D' L2 U2 F2 U2 R2 D2 L2 B' L' U' D2 B' R U L' B2 L R2 B2 U' L2 U B2,x2,D B L2 R D' B' D',L2 U L U L2,R U L2 U L' U' R',U' L R' U2 R,U' L U L' U2 L U' L',F U2 F' U' F U' F',L2 U F' B L2 F B' U L2 U',49
U' L' R' D R2 L' B' F2 U R D U B2 R2 D2 L' B2 R2 D' F R L2 U2,x2,U2 L F D' B' D',D2 U R' U' R D2,R' U R' U' R2,U' L' U R' U' L R,U2 R' U2 L',U F' L' B' L F L' B L,L' B R' U2 L F' L R2 D2 R2 F L' R,50
R' B' L2 U' D2 R U' B' L' R2 F' D2 L2 R' B2 U2 F' B2 U2 L F',x2,L2 D' R' D B',U' L D' L U' L' D,U L' D2 U2 L' U R' D2,D' R' U R D,U2 L U2 L' U' L U L',U B' U2 F' B U L2 U L2 U' L2 F,L R U2 R' U' R U2 L' U R' U,56
F L F2 U R2 D B' L2 R' F2 B2 L F2 D U' L' U2 L B' D2 R U R,x2,D B R' B U' F,L' U L U2 L' U2 L,U L' D2 L' D2 R,R2 U2 R U R' U R2,L' D' L U L' D U2 L2,U' F' L' B' L F L' B L,U' R' U L' U R U2 F R B2 R' F' B2 U L U',59
F' R F' R L2 F2 R' U2 D F2 L' U' F2 U2 B' F U' F B' D,x2,B2 L2 D' F D2,U2 L' U2 L U L' U' L,L D2 L' R U' L' D2,L' D' R' U2 R D L,U' L2 U' L2,U F' U2 F2 U F2 U F2 U2 F',U' F2 D' L2 U L2 F2 D R2 U' R2 U',53
D B' D2 L2 D' F' U F' R U' D' R' D U2 F B' D' B' L F2 R2 U' D,x2,R U B' F R B',U R' U' L' U' L,R2 U2 R' U' R U' R' U2 R',U R U' R U2 R2,L2 D2 R D2 U2 L',U' R' F' R B' R' F R B,U' R2 B2 R F R' B2 R F' R U2 U2,54
D2 B D F' B2 R D' U B2 D U L B2 L' B' R' F' L2 B2 D F2 L2 F2 U,x2,U' B' D' L' F' D' B',L' U2 L U L' U' L,D2 L' U2 L' U2 L2 D2,R' U2 L' U L R,L U2 R U R2 U L2,U2 F2 D' B L2 B' D F U2 F,U R2 B2 R F R' B2 R F' R U2,55
R D' F L D' F' L' R' B2 D B2 U D R2 B' L B2 F2 R L,x2,D B' R F' D B,U' L' U L' U' L,U' R' U2 R2 U R2 U R,R' U' L U2 L' U' R2,U2 R U L R' U' L',U' F' L' B' L F L' B L,B' R B' L2 B R' B' L2 B2 U2,53
R B2 D U L U B' L2 R' U D L' R D2 B U' R L F' L2 U R' D2 F D,x2,F' L R' B U F',R2 U' L' U' L,R' U2 R2 U R2 U R,R U2 R U' R,U L' R2 U2 L' D2 L' D2,R' U' R U' R' U2 R,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,54
F' D2 L' F D2 B D' B U2 F' U2 L2 U2 D F2 D2 F2 L F2 R2,x2,B' L' R' F' R D',L' U2 L U2 L' U2 L,L R2 U' L R2 U' R',U' R' U2 L U2 R,U2 L U2 L' U' L2,U' F' U2 F2 U F2 U F2 U2 F',R' U L' U R U2 F R B2 R' F' B2 U L U',57
U2 L U F' R' L2 D2 L R F2 B2 U F' U' F U2 B' F' D B,x2,L' D' F2 R' D' F,U2 L U2 L U2 L2 U' L,L' U2 R' D2 L' D2 R,U' L2 R' U R,L U' L U2 L2 U' L2 U' L2,F U2 F' U' F U' F',U R' U L' U R U2 F R B2 R' F' B2 U L,57
U' R' L' D B R2 L' U' L2 U' B R D B' D' L2 B2 D B2 F' R' D2 R D,x2,U' F D L F R' B',L' U' L,R' D' R U' R' D R,L' U2 L R2,D2 L' D2 U R U L2,U' F' L' B' L F L' B L,U L' R' U2 L R F U' B U2 F' U B' U,51
U2 B' L2 B R2 F' R2 B2 D' R2 B L' F L2 R' B U2 F U B L2 D L F U2,x2,U F R' D U F',U2 R D2 L' R D2 L' R2,R' D R' U' R D' U2 R',R' U2 R U2 R' U' R,,F' U2 F2 U F2 U F2 U2 F',U,39
U2 B L' D' L U F D2 B D' F B D' B U R2 D2 R2 F B2 D2 L2 U R' L,x2,D2 B2 D' L2 F' D',L' R2 U' L2 U R2,U2 R2 U2 R' U' R U' R2,R U2 L' U' R2,D2 L R U L' R' D2,U2 R' F' R B' R' F R B,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U',56
R2 L' F2 B' R' L' B' R2 L F B2 D R2 F D R2 U2 R D F' R2 U2 B2 R,x2,L R B D B',U' L R' D2 R' D2,U' R U2 R',R U2 R' U2 R U R2,D2 R U2 R' D2,R' U' R U' R' U2 R,U F2 U' L R' F2 L' R U' F2 U2 U,46
D2 L B' R2 F D2 U2 L R U F2 U B2 D2 U R L2 B' F L D2 F R2 F' L',x2,U R D L D B' D2,L' U2 R' U R U' L2,U L R U R2,R' U2 L U' L' U R,L U2 L U L' U L U2 L2,F U2 F' U' F U' F',U L R U2 R' U' R U2 L' U R' U,54
D2 U B' R2 F2 L' F2 U' F' D U B' R' L2 U2 L U R F2 L' D' U R B,x2,F L' F D' B R D',U2 L2 U L2,R U L' U' R',U R,L U L' U L U L',U' R' F' R B' R' F R B,U' F2 D' L2 U L2 F2 D R2 U' R2 U,46
D' R D' L2 U' F' D2 F B' R U' L R' D F' B L2 B2 R' L F',x2,B2 U R B' L2 U' F,L' U' L U L' U' L,R U' L' U' L U' R',U2 L' U L R U R,L' R2 D2 R D2,U' R' F' R B' R' F R B,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U',57
R' U2 B F' L2 U' R U' B' F2 U L B U2 D' R2 L B2 L2 B' L' U F D2,x2,F' U R' D R2 F,U2 L' U' L,U2 R U R2 U2 R2,L' D L U' L' D' L,U L U L',U F2 D' B L2 B' D F U2 F,L' B R' U2 L F' L R2 D2 R2 F L' R U,51
B D R D R L F2 U' D2 B' F' R' U' D F2 R B' L F2 R2 F' B2 U B2,x2,B2 F' R2 D' U B',L2 U2 L U L' U L U2 L,D2 U R' D2 L2 U2 R',D' U2 R' U2 R D,L' U2 L2 U L',B' U2 B U B' U B,L' B R' U2 L F' L R2 D2 R2 F L' R,53
F' L F R' B R D' R B' U' F2 R U L' B D L2 F D2 L2 F,x2,F R2 F R2 U' B',R2 D2 L D2 L',U R U2 R' U2 R U2 R',U R' U' R,D U L U' L' D',U' F2 D' B L2 B' D F U2 F,U2 B' R B' L2 B R' B' L2 B2 U,50
U D B' F R2 B' U' B2 D2 B D2 F' L' D2 L F' L' B' D2 F2 U',x2,R' B F2 D L F' D,L' U' L U' L' U' L,R U2 L' U' L R',L' U2 R U' L R' U2 R,L2 R' U' L2 U' L2,U2 F' U2 F2 U F2 U F2 U2 F',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U',59
B2 R U L' B2 F' L F2 U D2 R U' R2 F' D B U' R F D' F' D,x2,B D L B' D F,U2 L2 U' L U L2 U' L,R2 U' L U L U2 R2,U2 L U R' U' R,L U' L',U2 F' L' B' L F L' B L,,39
R' D2 R2 B' U' L2 B2 F U' B U' R2 B U2 B2 F2 D' L2 U D2 B2 R',x2,L2 U R B' D F',U' L' R2 U L,R' U' R2 U' R2,U' R' U2 R U2 R' U' R,L U' L2 U2 R U' L',U' R' F' R B' R' F R B,R2 F2 D2 L2 F' B' D2 R2 F' B' U,51
F' B U2 D' F2 L' U2 F' U L' B2 L' R' U2 D B F' L2 R B2,x2,U B F' R B,L' U2 L D2 L D2,U2 L U R' U2 L' U2 R',D' U2 R' U2 R D,R' D2 L R U L' U R' D2 R,U' R' F' R B' R' F R B,L' R' U2 L R F U' B U2 F' U B' U,57
U' F2 D F' L2 D R2 F B' R' B U' F2 R2 U B L D R' L' U,x2,D L R B' D' L2 F',,U' R U L U L' U2 R',R2 U R' D2 R' D2 R',L U' L' U' L U L',U B' U2 F' B U L2 U L2 U' L2 F,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,56
D L2 D' R2 L' U' B2 F R F R F2 D2 U' L' D R2 U2 R' D2 F D2 L2,x2,D F L D' U' B,U R2 U R' U' L2,U2 R U2 L U' L' R',R' U' R' U2 R2 U R2,U L U' L',U B' U2 F' B U L2 U L2 U' L2 F,F2 U' L R' F2 L' R U' F2 U2,52
R F2 D2 U2 B2 D2 U' L' R2 U' L U2 B2 F U D2 L' R D2 R L B2 L,x2,B2 U L B' R2 D,D2 U2 R' U' R D2,R2 U2 L' U' R',L D2 R' U' R D2 U L',U' L' U L2 U' L2,F U' B' U F' U' B,L R U2 R' U' R U2 L' U R' U',49
F' B' U B2 D U' L2 U' B2 R' B' F2 D L' U2 D F L' B' R2 L' F2 L U,x2,U2 F2 U B' F' D,L' R' U' L2 R,L' D2 R U2 L' D2,R' U' L U2 L' R,U' L U2 L' U L U' L',R' F' R B' R' F R B,U' L R U2 R' U' R U2 L' U R' U,51
U2 L' U2 B R2 L2 U' R' D U2 L' R' D' U2 R B2 U R2 U' L' B U R' B',x2,D2 L' B2 R2 F,R' U2 L' R U2 L,U' R2 U2 R' U2 R U' R2,U2 R2 D' R U' R' D R2,L R' U' R' U' L',,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,48
U L U' F R2 D L' U D2 R2 D2 R' B L B2 D U2 R D2 B2 U B R' F' B',x2,L2 B' D2 L F' D' B',L,U L U2 R U L' R',L' U R U R' U R2,L U L' U L U L',R' F' R B' R' F R B,U2 R2 B2 R F R' B2 R F' R U2,48
