scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R U2 L R2 D' L2 R D2 U B U2 R U' R D F' U F B2 L' D2 U2 L2 B2,x2,F2 R' F' R2 U' L' B',U2 B2 U' B2 D R2 B' L2 R2 D',R' B2 L' B' L B' U' R' B U2 B',B F' U2 B' F R2,D R B U2 R F R' F' U2 R' B' D',46
B R' B' L U D2 B' L U2 R' D2 R B2 R2 U' D' F2 D2 L2 U D R2 L' B2 F',x2,L B' D' L F2 L2 U',L D R2 U' F2 D' L' U2 F2 U2,R' F' L' B U' B2 R' B2 U' B' L F R',F R B F' U2 B' F R F',B' D B' L2 U' L2 B2 L2 F R' F' L2 D',52
L F R2 D' L R' B' L' B' D U R2 D U' L F' U2 L' U D F L,x2,L D' B U2 R2 F2 U,B' U' L D2 F R D2 L' B,R2 D U B R2 B2 R' B U' R D' R U,B F2 U B' F R' F,B2 L2 U' F2 L2 R U R' U' B2 R' D' R',49
R U L2 D2 B2 L R' F2 D2 B U2 D B L R2 D' U' L R' D2 B',x2,F D' U2 B2 R B F2,U B' F' D R' D' U' F2 R' B,U B' D2 R' D' R2 D' R2 D R D2 B,B F2 U B' F R' F,R D R' D' F2 R' U' R U F2,46
B R' L2 U' B2 D F' L2 F' R B' R' U B' D2 B2 R2 U' R F' R U F2 U2 B,x2,B' D' L' B' F' L2 D2,F2 U' B' R' U F' R' U2 B U2,L' R' F R B' R2 F' U' R' U R2 B L,B U' L R' F L' R B',B F U R' U2 R2 U2 R F' U' R' F2 R B',52
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,U R D' U L' F2 D',U F' U' L' U B2 D B2 L F,U R2 U' F U R U' B' F2 R B F R,B F' U2 B' F R2,F' R' D2 F2 D2 R' D2 F2 D2 F,46
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,R' F R' B' U L' D',R' F2 R B' U2 F2 R2 B F2,D F D B' R' D' F' D B D2 U,F R B F' U' B',D2 F R' B R' B' F D F' R F' D2,45
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,L' D2 F' R B' R2 U2,D R D F D2 F U2 R2 B2,R2 U' F' U R' U2 R' F U2 F' U' F,B F' U2 B' F R2,D' F' D U' R D R D' U F',44
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,D B' F2 R' U L' B',R' U2 F L2 F' D2 L D2 L U2,R' U L' D U2 B D2 B U2 B' D L,B U' B' F R F',D' L' D R D' F' L D R' F' R F,47
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,B D F' D2 L' R',B' R F2 U' R2 F R U2 B' R B2,F U2 R' U2 F' R D' L' F' L D U',L2 F' R' B' F D B L2,F' R' D' U F L2 F D2 U2 B D' U R2 F',51
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,L U2 R2 B R' U2,U2 B R2 D U L' D' U' R2 B',B D2 F' L2 F D2 L2 F L2 B' U2,D2 B2 R D2 F2 U2 L F2,R B U2 L F' U' B' R' B U F' L' B',48
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,B L' R D B U' F2 R',U2 B2 R' B2 R' D2 L2 D2 R,B U B' D' L' F' L D2 R2 D' R2,B F2 U B' F R' F,D' F D2 R D' U F' D' U' F' D,46
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,B2 D B2 D2 F2 L',F U' B' U F' R' U2 F' R U2 B,F2 U2 R' U' F' U' R F' R F' U2 R',B F' U2 B' F R2,U' B2 U' L' D' L R' B R U B2 U,47
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,R D F2 D B',F2 U2 L2 U B2 R' F' D R' B2,R U F' R' F R U F2 U F2 U R',D2 B2 R D2 F2 U2 L F2,U' R D B D R B R' D' B' D' R2 U,48
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,R' D' F2 U2 B L F',D2 L R U B R' D2 F2 U R2,U R F2 U2 F L F' L' F' R F2 U F,B U B' F R' F',U F' U2 R D' U F' D2 R U' R D' U F',50
R U F2 L' B' U2 L2 B2 R U' F' B2 D' F' L D R2 U2 D' F' B2,x2,U L' F2 R F' D,L' U2 L' D F' D' L' U L',D R2 D B R2 D2 L' F' L' F2 U2 L2,F R B F' U2 B' F R F',U L2 R B D B R B2 L2 F' R' U' F',49
F' B D2 B U' D2 L R U2 R' L' U2 R' D' B D' U L2 D' L D2,x2,B2 L R2 D U2 R2 B U',U B2 R' F R B U' B U',U' F2 U2 F U2 F' U' F2 L F L',F R B F' U2 B' F R F',B' D2 B2 R2 B2 D B2 F2 R2 B' F' D2 R' F,51
L' D2 B' F' D' F' L F2 R2 F B U2 L F L2 F' B U2 D' R F' U L2,x2,L2 U2 B F R B D R2,B' L F2 D' L' F R F' U2 R' B,L' F' U2 F2 U2 L2 F D2 B D2 F' L',L2 F' R' B' F D B L2,B F' U F U' B' F R F' R',49
B D' L' R' F' U' D2 B2 R' U F' B' L2 B' F U D' B2 D' F2 D L R2,x2,F2 R2 U F' D2 R,B' F' U' R' F2 U2 F' R F U' B,B' R' B U' L2 D2 R D2 L' F' L' U,,U2 F R U F' R' F' U' F' R U',40
U R' B R' U R B' F L D B2 L2 U F D R D' L F2 U2 D' F' L R',x2,F' D' F' L B' R' B2,D' L' R' U L F' R D,R2 B' F R' F2 R2 B U' R F U,,F R F' L R2 D' L' F' L D L' R2,38
D R B2 L B2 U' L' U' D R U2 D2 B U2 D' B F' L' R D2,x2,F' U2 F2 L' D' B R',B' F R' U' F' L' B L B U,R B' R2 B2 U' B' U' R' B U2 B' U,D2 B2 R D2 F2 U2 L F2,B U B' L R D' U F2 D F' U' L' R,50
U2 B R2 B2 F L2 D2 L2 D F2 L2 D' B L' U D' L B L2 R2 F',x2,D' L U' L' B2 R',D' L B2 D2 R U' F D' L2,F' U B' F R' B,B F' U2 B' F R2,F2 R F' R' F' R2 B U F U' B' F' R2,40
U' L U F2 R' B' R' U' R U2 D2 L' U' R D U' F R L2 F2,x2,B2 R B' U2 F R2 D',U B2 D R D' F R B2 F2 U',U' R2 U' F' D' U2 F' D U2 R' F U2,B F' U2 B' F R2,D2 U B L' U' L' B' L' U B L D2,47
U2 L R D' R2 B' L2 D2 B' D2 F2 D U' F2 B U D2 F' L2 B R F2 R2 F2 U',x2,L2 U' R' B' U2 R' D,U2 B' L R' D' R F L' U B,F R' F2 R U B' F2 D R' D' F' R' B,D2 B2 R D2 F2 U2 L F2,D R D' F2 R' F2 U' R U F R F,50
R2 L B2 U D F B U2 B' U' D' F B' U2 R' D2 L2 B R' D,x2,F L' U F2 D2 B' L',L U B2 D F' D' B2 U' L',U2 R U2 F2 R2 B' R B R2 F2 U' R',D2 B2 R D2 F2 U2 L F2,B R2 D R' D' R' U' F2 U' F R F U B',50
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',x2,L F2 L2 R B D2,L U F L2 B' L U2 R B' F2,F R' F2 L' B' R2 B2 U' B' U' L F,R2 B F' U2 B' F,F' R B U2 F2 U' F' U' B' R F' R F2,47
D B R' U2 L2 B2 U2 D R' D' U R' U D' L' F' L2 R D2 B' R,x2,D R2 F' U' L' F2 L2,F2 U B' D R D' R U F2 U2 B,U' F U' F' U2 R2 U' F' U R2,R2 B F' U2 B' F,U' B' D' B' R' D' R B D B R U,46
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',x2,U' F L' F R B',R' F2 R U' F L U L' F',U L D R' F2 R F U F D' U' L',D2 B2 R D2 F2 U2 L F2,B' D2 B L' R D' F2 D L R',45
R2 B D' R2 F' D' B' D' U R L2 D R' B' R' F R2 D2 L2 B,x2,L U F' D' B R D,U2 L B2 U2 L B2 L' U2 B2 U2,D' R U' R' U' F2 D F R F U,L2 F' R' B' F D B L2,F' R F2 R D' U F' D U' F2 R' F,48
D F2 B' R U R D' B' D R' F' R2 F2 R' D U' R2 F L U2,x2,D B L D2 U B F L',R2 B' R2 F2 R U' B D' F' L' D,F2 U L' B U L2 F L B' L2 R' U' F,R2 B F' U2 B' F,B' D B F R' B' F D F2 D' B,49
B' D' U2 L R' U R F B' R2 B R' F' R2 F D F L D2 F,x2,U' L' F' L B R' U,L2 B2 F R2 B2 F' L2,U2 L F2 U L' B' R' U2 R' U B U,L2 F' R' B' F D B L2,B D' L2 U L2 F2 L2 U L2 F2 D B',46
L' U' R2 D U' L D F2 B2 R2 B' U B U' L' R D' L2 U' R2 D U',x2,B2 L2 U2 L' F' R' D',B L2 B' F2 U L U' F L2,U' F' R' F' U' F2 D' R U R' D R2,F R B F' U' B',D' F D2 U2 B' D B D2 U2 F',44
L2 R2 D' L B2 R' D' F2 R2 B2 U2 R F U F2 L F2 U2 B U R D2 F',x2,F' L' B R2 D B U2,L D2 F' U' F U R D2 U' L',U' R' D U' R' U2 R2 D' R' U' F2 U' F2,L2 F' R' B' F D B L2,D R2 B U R F R2 F' U' R' B' D',50
B2 L' U2 L2 B' L R' F B U2 D L' B2 U' R' D' F' U' B2 R,x2,B2 U L' U2 F2 D' B U,B' U2 B L' B' U B L U2,L F2 U' L D U2 F2 U2 R2 D' L' U L',D2 B2 R D2 F2 U2 L F2,F U' R' B' R2 B U R F' R2 F2 R2,50
F2 U D' F2 U R D R' L' D' F' D R2 B2 D2 F2 B R' D R B' R F' B2,x2,R2 D' F D' U2 R2,U2 L' U2 R' F L' F' L R,F' L' F' U' F U' L F2 R D' F' D,B F2 U B' F R' F,D' F D2 R D2 B2 D U F D' U' B2 F' D,48
