scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
U2 D' F U' F2 R2 B' U R2 L2 B U2 D R' D2 F' B2 L' U2 R' D2 R2 U2 R2,x2,D2 U' B U2 F2 L' F',U' l2 L' U2 L2 U' l2,U' l2 L2 U l2 L' U L',U2 R' F2 U F2 U' F2 U' F2 R U' U,,M2 U' M2 U2 M' U2 M' U' M2 U2,44
L2 R2 U2 L' R F' L U' R B2 R L D' B U2 D2 B2 D2 U2 B D' B',x2,U B2 F' U L2 U' L2 F R',U L,l2 U L' U L U2 l2,F U2 F' U2 B' R2 F' R2 B U' U',,U2 M' U2 M U M2 U2 M2 U,38
L' U B2 R B R2 U2 D L' R' D2 B U2 R F2 L' U B' F2 U2 B F U',x2,B2 U L R2 D F' R2 B' R,U' l U2 l U' l2,U' l L' U2 l' L2 U' L',U2 B2 L2 B R2 B' L2 B R2 B U,,M U2 M U' M2 U' M' U2 M U2,44
F' D2 F' R2 U D' B' R F L' U2 F' B2 L R D2 L2 R2 D F U2,x2,R2 F R2 B' F2 U' B' F' D',l L' U2 l' U' L,U L U L' U2 L U L',B2 D F' L2 F D' B' U2 B' U',,M2 U M U2 M U,39
F B L' R' U2 F D2 L2 F' L2 F' D L' D F' U F D2 R2 D2 U2 B F',x2,U2 B' L U F' R D U2 R2 B',l2 L U l U2 l,U l U2 l' U' L U L',U' U R' F2 U F2 U F2 U' F2 R,,M2 U M' U2 M2 U2 M U',43
U L2 F2 U' D' F' D' U B' L2 B2 L' F2 B' R2 B' U' D L2 U2 L2 U',x2,B F D U2 F' R' U2 F2,l2 U L U' l2 L U L,L2 U' l2 U l2 U L2,L2 F2 R' D' R F2 L' U L' U',,M2 U2 M U2 M U M2 U M U2 M,44
L B2 L' R B2 U2 D2 B' F2 L R F B L2 F' R' F2 U' F U' D2 L D2 L',x2,L2 F2 D U B F2 D U' F R' B',U2 l2 U' l' U2 l' U L,l2 L' U l2 L2 U' L',U2 F U2 F2 L F L' F U' R U' R' F' U2,,U M2 U2 M2 U,45
B R' L2 B' L2 R' F2 R' B' L' U2 L2 B' F' R2 F D2 R' U2 L,x2,B' L B F D2 F' R' B,L2 U' L2 U' L,U2 l U2 l',U R' U' B L2 D F' D' F L2 B' U2 R,,U' M2 U' M' U2 M',36
L U' F' D' F2 R' F R F2 U' B R2 D2 F R B2 D R D' L U,x2,D2 F' D' R F2 U L' D2,L2 U' L U L U L2,U' L U l' U2 l U' L',U' F U2 F2 L F L' F U' R U' R' F',,M U2 M' U M2 U' M' U2 M',45
D B' D2 B2 U2 F' L R' F R' F' U' B' L' D' U F2 U B2 U' D' R2,x2,R' D2 F L D' B L2 U F2,l2 L' U l2 U L,U' l U2 l' U' L U L',U U2 R' U2 L2 D R2 D L2 U2 R' U2,,U2 M U2 M' U M' U2 M' U' M2 U2,46
