method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_618cbfc8,107,43.7,5,8.74,0,0.015737
rand_4400c90d,139,35.54,3,11.85,0,0.006214
mut_c163669d,139,34.05,3,11.35,0,0.007651
rand_c22ee5fc,140,33.81,3,11.27,0,0.007919
rand_aeadf186,140,35.46,3,11.82,0,0.006288
rand_b9749de4,140,45.0,4,11.25,0,0.005991
rand_d4f84b1a,122,40.32,4,10.08,0,0.010236
rand_584c9a3a,132,40.45,4,10.11,0,0.010087
rand_1f0de95b,139,42.86,4,10.71,0,0.007613
mut_04e30f18,140,44.63,4,11.16,0,0.006231
rand_362ebc9d,140,53.61,6,8.94,0,0.011923
rand_390f4140,115,39.09,4,9.77,0,0.011893
rand_c25970c5,139,37.32,3,12.44,0,0.004926
rand_feedc80a,140,42.49,4,10.62,0,0.007936
rand_df418348,140,34.48,3,11.49,0,0.007207
rand_52b823a9,139,39.57,4,9.89,0,0.011218
rand_1f69aaed,138,39.99,4,10.0,0,0.010641
rand_b51f7f8b,140,41.55,4,10.39,0,0.008836
rand_1e013534,132,35.34,3,11.78,0,0.006391
mut_03220722,134,35.73,3,11.91,0,0.006063
mut_1756b44f,139,32.68,3,10.89,0,0.009358
rand_e19046b6,140,39.93,4,9.98,0,0.010739
rand_0a88b144,138,38.71,4,9.68,0,0.012436
rand_563854b4,140,44.28,5,8.86,0,0.014868
rand_357c41b1,140,38.09,4,9.52,0,0.013446
rand_cd9e1a12,140,38.51,4,9.63,0,0.012744
rand_167cf594,140,43.3,4,10.82,0,0.007242
mut_f8460cb5,140,41.51,4,10.38,0,0.008878
rand_0913787d,140,42.19,4,10.55,0,0.0082
mut_300f7479,140,41.29,4,10.32,0,0.009128
rand_5bd732fd,140,47.0,5,9.4,0,0.011414
rand_a8a48ebc,139,36.77,3,12.26,0,0.005281
rand_ab7353be,140,46.34,5,9.27,0,0.012172
rand_30b24f9c,140,39.92,4,9.98,0,0.010742
rand_13d8121b,133,36.0,3,12.0,0,0.005848
mut_0cbf1d81,140,42.86,4,10.71,0,0.007613
mut_83eb0d51,140,34.49,3,11.5,0,0.007181
rand_7cc20ce5,140,49.34,5,9.87,0,0.009066
rand_64598481,83,39.49,4,9.87,0,0.011327
mut_41f50aec,130,41.68,6,6.95,135,0.023992
rand_d4a13a97,130,43.54,5,8.71,0,0.015965
mut_5c6534f2,130,48.45,5,9.69,0,0.009897
mut_9457777e,130,46.96,5,9.39,0,0.011468
rand_8b72168e,130,48.4,5,9.68,0,0.009946
rand_24aeed90,120,42.55,4,10.64,0,0.007867
mut_b3cd8f70,120,44.4,4,11.1,0,0.006396
mut_564d79ea,113,37.03,3,12.34,0,0.005117
mut_9912ebd1,120,39.05,5,7.81,0,0.023314
rand_73a9f1d0,120,41.16,4,10.29,0,0.00926
rand_f62d33ed,119,35.99,3,12.0,0,0.00585
mut_128ac8af,118,40.07,4,10.02,0,0.010539
mut_ce5ef5c3,120,45.96,5,9.19,0,0.012654
rand_749157f8,120,42.81,4,10.7,0,0.00765
rand_dc5e16c6,120,35.07,3,11.69,0,0.006632
rand_77f0e8e8,120,42.82,4,10.71,0,0.00762
mut_7f1ca4bb,97,39.06,4,9.77,0,0.011903
rand_6344af31,107,40.54,4,10.13,0,0.009989
rand_dafccfa9,120,42.77,4,10.69,0,0.007685
mut_f8ab16ca,120,42.28,4,10.57,0,0.008123
rand_7a6c2ebd,120,36.67,3,12.22,0,0.00536
mut_c3de6817,120,41.02,4,10.26,0,0.009397
mut_0f5a2905,120,44.15,5,8.83,0,0.015077
rand_1643966b,120,42.22,4,10.55,0,0.008195
rand_d563db6a,115,35.39,3,11.8,0,0.006341
rand_2b3d23d7,120,42.52,4,10.63,0,0.007901
rand_ac3045d3,120,43.56,4,10.89,0,0.007021
mut_e0d42d97,119,33.28,3,11.09,0,0.008563
mut_9252abdb,120,34.56,3,11.52,0,0.007119
rand_7e200f14,120,43.08,4,10.77,0,0.007412
mut_23d4ce0c,120,40.02,4,10.01,0,0.010592
rand_66f0da39,120,48.27,5,9.65,0,0.010089
rand_cf30fa32,120,47.42,5,9.48,0,0.010969
mut_06332037,120,33.17,4,8.29,0,0.024126
rand_673e3ecb,120,41.41,4,10.35,0,0.008999
mut_068afa24,120,42.51,4,10.63,0,0.007903
rand_2cb492d0,120,42.32,4,10.58,0,0.008085
rand_0d692a58,120,40.42,4,10.11,0,0.010095
rand_72960bc2,120,41.67,4,10.42,0,0.008712
mut_46c49ebe,120,41.67,4,10.42,0,0.008712
rand_b57256ec,101,0.0,3,0.0,0,0.0
mut_fefc44f2,109,42.1,4,10.53,0,0.008279
rand_76381a46,101,33.34,3,11.11,0,0.008488
mut_a97517b7,110,44.36,4,11.09,0,0.006424
mut_17f69624,103,43.36,4,10.84,0,0.007181
rand_4e33172a,98,39.97,4,9.99,0,0.010687
mut_11bdedb0,110,34.25,3,11.42,0,0.007428
rand_abfb98d2,110,46.31,5,9.26,0,0.012226
mut_a4cb6fd2,110,43.75,4,10.94,0,0.006867
mut_01d962c7,109,39.44,4,9.86,0,0.011386
rand_7c676f3a,110,44.82,4,11.21,0,0.006098
mut_3c1a2b6b,110,44.77,4,11.19,0,0.006147
mut_a40f2147,110,40.95,4,10.24,0,0.009485
rand_02406836,110,47.41,5,9.48,0,0.010971
rand_a4ed807c,110,51.46,5,10.29,0,0.007407
mut_0e6840a5,107,49.22,5,9.84,0,0.009194
ZZ,775,50.99,7,7.28,494,0.019384
rand_cd172009,110,36.59,3,12.2,0,0.005405
mut_654d467d,70,37.33,4,9.33,0,0.014765
rand_bd71b93a,100,45.41,4,11.35,0,0.005737
rand_397867dd,100,50.21,5,10.04,0,0.008346
rand_a242e432,100,36.71,3,12.24,0,0.005322
rand_acd93677,100,51.19,5,10.24,0,0.007587
rand_9b799352,100,35.95,3,11.98,0,0.005893
mut_3c897e0c,100,35.49,3,11.83,0,0.006262
mut_ff6c4ce1,99,41.32,4,10.33,0,0.009087
rand_6e7b2c77,100,33.23,3,11.08,0,0.008606
mut_c8bc5387,100,42.35,4,10.59,0,0.00805
mut_4ee49c55,99,40.23,4,10.06,0,0.010338
mut_23e8df6f,100,41.66,4,10.41,0,0.008747
rand_4f57f60d,100,35.13,3,11.71,0,0.006578
rand_f1e0f58d,100,45.0,4,11.25,0,0.005991
rand_947a872d,100,45.21,4,11.3,0,0.005862
mut_e40170c8,100,41.34,4,10.34,0,0.009048
rand_38d6e1f2,100,46.97,5,9.39,0,0.011466
mut_98177c28,74,38.68,4,9.67,0,0.012493
mut_cf3a7f55,88,39.68,4,9.92,0,0.011058
rand_f769af87,88,37.28,4,9.32,0,0.014842
rand_70c4443e,90,42.62,4,10.65,0,0.007825
rand_67b060ba,90,36.04,3,12.01,0,0.005823
rand_24df8f33,90,40.31,4,10.08,0,0.010239
mut_bbe2cfac,90,46.41,5,9.28,0,0.012107
mut_7acfc764,90,47.06,5,9.41,0,0.011356
mut_18a7e6a5,90,42.5,4,10.62,0,0.007934
mut_ff640bbc,90,42.67,4,10.67,0,0.007759
rand_f01e11cd,90,41.53,4,10.38,0,0.008873
mut_49b898e9,90,42.1,4,10.53,0,0.008279
rand_27f97e64,90,43.57,4,10.89,0,0.007019
rand_ab5841f1,87,35.87,3,11.96,0,0.005944
rand_ad0fa93f,90,40.37,4,10.09,0,0.010184
mut_87cb0d64,89,38.58,4,9.64,0,0.012672
rand_fcf6ad7c,90,41.34,4,10.34,0,0.009048
rand_f1132c2f,90,41.82,4,10.46,0,0.008553
mut_56e8205f,90,36.12,3,12.04,0,0.005756
rand_4976c259,90,42.23,4,10.56,0,0.008163
mut_0725c60f,87,36.1,3,12.03,0,0.005777
mut_9dcd92e5,90,35.07,3,11.69,0,0.006632
rand_f101d7cd,90,42.82,4,10.71,0,0.00762
rand_2ad369eb,90,53.62,5,10.72,0,0.006063
mut_28900a35,72,41.35,4,10.34,0,0.009046
rand_e0f392e6,90,42.57,4,10.64,0,0.007863
rand_702d044b,77,39.1,4,9.78,0,0.011845
mut_484c2339,90,41.6,4,10.4,0,0.008792
rand_3846ea95,90,48.49,5,9.7,0,0.009851
mut_64b4e225,90,42.53,4,10.63,0,0.007899
rand_1c50e49e,80,42.44,4,10.61,0,0.007974
rand_d0e34ddd,79,37.08,3,12.36,0,0.005079
rand_ea6c1930,80,43.19,4,10.8,0,0.007313
mut_08b604f9,80,35.36,4,8.84,0,0.018756
rand_0c7df8e0,80,35.85,3,11.95,0,0.005966
mut_bece6bc2,80,43.66,4,10.91,0,0.006955
rand_0ebfd5d3,80,42.14,4,10.54,0,0.00824
rand_9226bc89,80,49.15,5,9.83,0,0.009243
mut_c2035c6e,80,45.31,5,9.06,0,0.013486
rand_14aa0853,80,40.65,4,10.16,0,0.009849
rand_098b46d6,80,46.71,5,9.34,0,0.011754
rand_683f4dca,80,39.44,4,9.86,0,0.011386
rand_5f61c05b,80,40.71,4,10.18,0,0.00976
mut_02d7d7b6,80,36.09,4,9.02,0,0.017188
mut_50820a29,80,48.92,5,9.78,0,0.009467
rand_9ac08692,80,42.5,4,10.62,0,0.007934
mut_212457b1,80,48.58,5,9.72,0,0.009757
rand_cb4155c0,80,43.46,4,10.87,0,0.007087
rand_ea47d632,80,42.67,4,10.67,0,0.007759
rand_c59b1bd5,80,40.44,4,10.11,0,0.01009
mut_428b46da,80,46.89,5,9.38,0,0.01153
mut_889134d6,80,36.08,3,12.03,0,0.00578
mut_63c194f5,80,35.89,3,11.96,0,0.005941
rand_a39f538b,80,41.65,4,10.41,0,0.008749
mut_a31e18ea,80,47.02,5,9.4,0,0.01141
rand_31aa5145,80,40.34,4,10.09,0,0.010192
rand_80abba31,76,34.71,3,11.57,0,0.006971
